시도,군구,설치기관명,설치기관 주소,설치위치,기관 연락처
인천,미추홀구,인천미추홀소방서,"인천광역시 미추홀구 인하로 190, 인천광역시소방본부및미추홀소방서 (주안동)",용현119구급차(998나6846),032-870-3213
인천,미추홀구,인천사랑병원,"인천광역시 미추홀구 미추홀대로 726, 인천사랑병원 (주안동)",구급차(79조6508),032-457-2000
인천,미추홀구,선화여자중학교,인천광역시 미추홀구 석정로 165 (도화동),학교 본관 3층 보건실 앞 복도,032-629-3087
인천,미추홀구,오름요양병원,"인천광역시 미추홀구 한나루로 591, 오름요양병원 (도화동)",원내 1층 병동 101호 앞,032-715-5886
인천,미추홀구,인천미추홀소방서,"인천광역시 미추홀구 인하로 190, 인천광역시소방본부및미추홀소방서 (주안동)",신기119구급차(998나6830),032-870-3213
인천,미추홀구,미추홀구보건소,"인천광역시 미추홀구 주안서로 25, 미추홀구 보건소 (도화동)",보건소내 특수구급차(75누 7211) 차량내,032-880-5310
인천,미추홀구,인천사랑병원,"인천광역시 미추홀구 미추홀대로 726, 인천사랑병원 (주안동)",구급차(72루4419),032-457-2000
인천,미추홀구,미추홀구보건소,"인천광역시 미추홀구 주안서로 25, 미추홀구 보건소 (도화동)",미추홀구보건소 민원실 앞(1층),032-880-5310
인천,미추홀구,금강요양병원,"인천광역시 미추홀구 인주대로 452, 금강요양병원, 새한장례식장 (주안동)",구급차(79조6660),032-215-7575
인천,미추홀구,현대유비스병원,"인천광역시 미추홀구 독배로 503, 현대유비스병원 (숭의동)",구급차(78구0899),032-888-7575
인천,미추홀구,W(더블유)여성병원,"인천광역시 미추홀구 인주대로 400, 제일여성병원 (주안동)",구급차(70버6618),032-451-0000
인천,미추홀구,현대유비스병원,"인천광역시 미추홀구 독배로 503, 현대유비스병원 (숭의동)",구급차(71마9994),032-888-7575
인천,미추홀구,신주안요양병원,"인천광역시 미추홀구 인주대로 432, 주안요양병원 (주안동)",구급차(723구8367),032-270-3000
인천,미추홀구,인천사랑병원,"인천광역시 미추홀구 미추홀대로 726, 인천사랑병원 (주안동)",구급차(79조6553),032-457-2000
인천,미추홀구,알엠병원,인천광역시 미추홀구 한나루로 446 (학익동),구급차(78루7992),032-874-2727
인천,미추홀구,한국보훈복지의료공단 인천보훈병원,"인천광역시 미추홀구 인주대로 138, 인천보훈병원 (용현동)",구급차(79오6084),032-363-9712
인천,미추홀구,오름요양병원,"인천광역시 미추홀구 한나루로 591, 오름요양병원 (도화동)",구급차(73누8633),032-715-5886
인천,미추홀구,현대유비스병원,"인천광역시 미추홀구 독배로 503, 현대유비스병원 (숭의동)",구급차(74도9761),032-888-7575
인천,미추홀구,나누리병원,"인천광역시 미추홀구 인주대로 485, 인천나누리주안병원 (주안동)",구급차(72루2590),032-721-9723
인천,미추홀구,지성병원,"인천광역시 미추홀구 아암대로 109, 청솔프라자 (용현동)",구급차(71로7060),032-862-5544
인천,미추홀구,인천구치소부속의원,인천광역시 미추홀구 학익소로 30 (학익동),구급차(79두1405),032-870-9490
인천,미추홀구,인천우리병원,"인천광역시 미추홀구 석바위로53번길 8, 정문학원 종합반 (주안동)",구급차(75수0998),032-715-5300
인천,미추홀구,도화요양병원,"인천광역시 미추홀구 경인로 302 (도화동, 도화한승미메이드)",구급차(72주7860),032-865-0033
인천,미추홀구,새건병원,인천광역시 미추홀구 경인로 430 (주안동),구급차(79조6988),032-427-2800
인천,미추홀구,인천드림요양병원,"인천광역시 미추홀구 경인로 46, 상아빌딩 (숭의동)",구급차(72서6732),032-887-7600
인천,미추홀구,인일요양병원,"인천광역시 미추홀구 미추홀대로 699, 인일빌딩 (주안동)",구급차(78루7955),032-863-0051
인천,미추홀구,행정안전부정부청사관리본부인천청사관리소,"인천광역시 미추홀구 석정로 239, 정부인천지방합동청사 지하1층~14층층 (도화동)",13층 (복도 EPS실 옆),032-588-4505
인천,미추홀구,인천광역시체육회(문학박태환수영장),"인천광역시 미추홀구 매소홀로 618, 문학경기장 수영장층 (문학동)",수영장(경영풀),032-715-4237
인천,미추홀구,인주중학교,인천광역시 미추홀구 매소홀로 335 인주중학교,본관 1층 현관 입구,032-863-9314
인천,미추홀구,행정안전부정부청사관리본부인천청사관리소,"인천광역시 미추홀구 석정로 239, 정부인천지방합동청사 지하1층~14층층 (도화동)",지하1층 (복도 EPS실 옆),032-588-4505
인천,미추홀구,행정안전부정부청사관리본부인천청사관리소,"인천광역시 미추홀구 석정로 239, 정부인천지방합동청사 지하1층~14층층 (도화동)",1층 (남쪽 복도 EPS실 옆),032-588-4505
인천,미추홀구,행정안전부정부청사관리본부인천청사관리소,"인천광역시 미추홀구 석정로 239, 정부인천지방합동청사 지하1층~14층층 (도화동)",12층 (복도 EPS실 옆),032-588-4505
인천,미추홀구,숭의초등학교,인천광역시 미추홀구 장천로 99 숭의초등학교,숭의초등학교 서관 1층 현관,032-887-9011
인천,미추홀구,인천시설공단,"인천광역시 서구 봉수대로 806, 인천아시아드주경기장 북측별관 상가주차사업단동 지하도상가팀층 (연희동)",석바위지하도상가[판매시설],032-456-2770
인천,미추홀구,미추홀구청소년수련관,"인천광역시 미추홀구 경인로42번길 23, 미추홀구청소년수련관 1층 (숭의동)",1층(출입문 입구),032-887-5270
인천,미추홀구,인천광역시체육회(문학박태환수영장),"인천광역시 미추홀구 매소홀로 618, 문학경기장 수영장층 (문학동)",헬스장,032-715-4237
인천,미추홀구,인천시설공단,"인천광역시 서구 봉수대로 806, 인천아시아드주경기장 북측별관 상가주차사업단동 지하도상가팀층 (연희동)",주안시민지하도상가[판매시설],032-456-2770
인천,미추홀구,행정안전부정부청사관리본부인천청사관리소,"인천광역시 미추홀구 석정로 239, 정부인천지방합동청사 지하1층~14층층 (도화동)",6층 (복도 EPS실 옆),032-588-4505
인천,미추홀구,행정안전부정부청사관리본부인천청사관리소,"인천광역시 미추홀구 석정로 239, 정부인천지방합동청사 지하1층~14층층 (도화동)",11층 (복도 EPS실 옆),032-588-4505
인천,미추홀구,인천시설공단,"인천광역시 서구 봉수대로 806, 인천아시아드주경기장 북측별관 상가주차사업단동 지하도상가팀층 (연희동)",제물포지하도상가[판매시설],032-456-2770
인천,미추홀구,인천시설공단,"인천광역시 서구 봉수대로 806, 인천아시아드주경기장 북측별관 상가주차사업단동 지하도상가팀층 (연희동)",주안역지하도상가[판매시설],032-456-2770
인천,미추홀구,행정안전부정부청사관리본부인천청사관리소,"인천광역시 미추홀구 석정로 239, 정부인천지방합동청사 지하1층~14층층 (도화동)",14층 (복도 EPS실 옆),032-588-4505
인천,미추홀구,인천광역시체육회(문학박태환수영장),"인천광역시 미추홀구 매소홀로 618, 문학경기장 수영장층 (문학동)",수영장(보조풀),032-715-4237
인천,미추홀구,인천광역시체육회(문학박태환수영장),"인천광역시 미추홀구 매소홀로 618, 문학경기장 수영장층 (문학동)",수영장(다이빙풀),032-715-4237
인천,미추홀구,행정안전부정부청사관리본부인천청사관리소,"인천광역시 미추홀구 석정로 239, 정부인천지방합동청사 지하1층~14층층 (도화동)",3층 (남쪽 복도 EPS실 옆),032-588-4505
인천,미추홀구,행정안전부정부청사관리본부인천청사관리소,"인천광역시 미추홀구 석정로 239, 정부인천지방합동청사 지하1층~14층층 (도화동)",10층 (복도 EPS실 옆),032-588-4505
인천,미추홀구,행정안전부정부청사관리본부인천청사관리소,"인천광역시 미추홀구 석정로 239, 정부인천지방합동청사 지하1층~14층층 (도화동)",5층 (복도 TPS실 옆),032-588-4505
인천,미추홀구,행정안전부정부청사관리본부인천청사관리소,"인천광역시 미추홀구 석정로 239, 정부인천지방합동청사 지하1층~14층층 (도화동)",8층 (복도 EPS실 옆),032-588-4505
인천,미추홀구,문학경기장시설관리사업소,인천광역시 미추홀구 매소홀로 618 (문학경기장 시설관리사업소),보조경기장 1F 출입구,032-200-7516
인천,미추홀구,행정안전부정부청사관리본부인천청사관리소,"인천광역시 미추홀구 석정로 239, 정부인천지방합동청사 지하1층~14층층 (도화동)",2층 (남쪽 복도 TPS실 옆),032-588-4505
인천,미추홀구,행정안전부정부청사관리본부인천청사관리소,"인천광역시 미추홀구 석정로 239, 정부인천지방합동청사 지하1층~14층층 (도화동)",4층 (남쪽 복도 EPS실 옆),032-588-4505
인천,미추홀구,행정안전부정부청사관리본부인천청사관리소,"인천광역시 미추홀구 석정로 239, 정부인천지방합동청사 지하1층~14층층 (도화동)",7층 (복도 EPS실 옆),032-588-4505
인천,미추홀구,행정안전부정부청사관리본부인천청사관리소,"인천광역시 미추홀구 석정로 239, 정부인천지방합동청사 지하1층~14층층 (도화동)",9층 (복도 EPS실 옆),032-588-4505
인천,미추홀구,인천미추홀소방서,"인천광역시 미추홀구 인하로 190, 인천광역시소방본부및미추홀소방서 (주안동)",도화119구급차(998나6825),032-870-3213
인천,미추홀구,인천미추홀소방서,"인천광역시 미추홀구 인하로 190, 인천광역시소방본부및미추홀소방서 (주안동)",주안119구급차(998나6842),032-870-3213
인천,미추홀구,용현1.4동행정복지센터,"인천광역시 미추홀구 인주대로 198, 용현 1,4동 행정복지센터 1층 (용현동)",용현1.4동 행정복지센터 1층,032-728-6163
인천,미추홀구,학익1동행정복지센터,"인천광역시 미추홀구 매소홀로 380, 학익1동 행정복지센터 1층 (학익동)",학익1동 행정복지센터 1층,032-728-6244
인천,미추홀구,인천미추홀소방서,"인천광역시 미추홀구 인하로 190, 인천광역시소방본부및미추홀소방서 (주안동)",숭의119안전센터구급차(998나6843),032-870-3213
인천,미추홀구,한국보훈복지의료공단인천보훈병원,"인천광역시 미추홀구 인주대로 138, 인천보훈병원 (용현동)",인천보훈병원 2층 소회의실 앞,032-863-9800
인천,미추홀구,한국보훈복지의료공단인천보훈병원,"인천광역시 미추홀구 인주대로 138, 인천보훈병원 (용현동)",인천보훈병원 1층 안내센터앞,032-863-9800
인천,미추홀구,엘에이치(LH)미추홀퍼스트아파트,"인천광역시 미추홀구 낙섬동로 135 (용현동, 엘에이치미추홀퍼스트)",엘에이치(LH)미추홀아파트 관리사무소,032-889-5744
인천,미추홀구,인천엘에이치(LH)미추홀3단지아파트,"인천광역시 미추홀구 낙섬중로 129 인천 엘에이치(LH)미추홀3단지 아파트 (용현동, 엘에이치미추홀3단지)",인천 엘에이치(LH)미추홀3단지 아파트 관리사무소,032-887-9007
인천,미추홀구,인천엘에이치(LH)미추홀3단지아파트,"인천광역시 미추홀구 낙섬중로 129 인천 엘에이치(LH)미추홀3단지 아파트 (용현동, 엘에이치미추홀3단지)",인천 엘에이치(LH)미추홀3단지 아파트 정문경비실,032-887-9007
인천,미추홀구,인천관교한신휴플러스아파트,"인천광역시 미추홀구 경원대로 717 (주안동, 인천관교 한신휴플러스)",인천관교한신플러스 112동 옆 관리사무소 출입문 옆,032-431-8980
인천,미추홀구,인천엘에이치(LH)미추홀3단지아파트,"인천광역시 미추홀구 낙섬중로 129 인천 엘에이치(LH)미추홀3단지 아파트 (용현동, 엘에이치미추홀3단지)",인천 엘에이치(LH)미추홀3단지 아파트 후문경비실,032-887-9007
인천,미추홀구,한국보훈복지의료공단인천보훈병원,"인천광역시 미추홀구 인주대로 138, 인천보훈병원 (용현동)",인천보훈병원 4층 우편함옆,032-863-9800
인천,미추홀구,한국보훈복지의료공단인천보훈병원,"인천광역시 미추홀구 인주대로 138, 인천보훈병원 (용현동)",인천보훈병원 3층 재활의학과앞,032-863-9800
인천,미추홀구,인천청인학교,인천광역시 미추홀구 숙골로135번길 14 인천청인학교 (도화동),1층 현관 교무실 옆,032-458-7447
인천,미추홀구,인천미추홀소방서,"인천광역시 미추홀구 인하로 190, 인천광역시소방본부및미추홀소방서 (주안동)",신기119안전센터구급차(998나6835),032-870-3213
인천,미추홀구,엘에이치(LH)미추홀퍼스트아파트,"인천광역시 미추홀구 낙섬동로 135 (용현동, 엘에이치미추홀퍼스트)",엘에이치(LH)미추홀퍼스트아파트 정문 경비실,032-889-5744
인천,미추홀구,주안역행복주택LH1단지,인천광역시 미추홀구 주안로 117-16 주안역행복주택LH1단지 (주안동),주안역행복주택LH1단지 관리사무소 입구,032-429-8384
인천,미추홀구,e편한세상도화5단지아파트,"인천광역시 미추홀구 숙골로112번길 11 e편한세상도화5단지아파트 (도화동, e편한세상)",e편한세상도화5단지아파트 관리사무소 현관입구 왼쪽,032-873-5501
인천,미추홀구,도화6-2단지e편한세상아파트,"인천광역시 미추홀구 숙골로88번길 56 (도화동, e편한세상도화 6-2단지)",도화6-2단지e편한세상아파트 관리사무소 앞,032-862-3700
인천,미추홀구,용현대림아파트,"인천광역시 미추홀구 낙섬중로 18 용현대림아파트 (용현동, 대림아파트)",용현대림아파트3동 8초소,032-886-8488
인천,미추홀구,주안쌍용아파트,"인천광역시 미추홀구 인하로 292 (주안동, 쌍용주안아파트)",주안쌍용아파트 2동 뒤 관리사무소 입구,032-421-1761
인천,미추홀구,인천광역시체육회(인천스포츠과학센터),인천광역시 미추홀구 매소홀로 618 문학월드컵 주경기장서측1층 인천스포츠과학센터 내 (문학동),문학월드컵주경기장 서측1층 인천스포츠과학센터내,032-899-5657
인천,미추홀구,"학익신동아1,2차아파트","인천광역시 미추홀구 소성로 211 (학익동, 신동아아파트)","학익신동아1,2차아파트 6동 2호라인 1층",032-866-3105
인천,미추홀구,신동아7차아파트,"인천광역시 미추홀구 학익소로61번길 83 신동아7차아파트 (학익동, 주안7차신동아아파트)",신동아7차아파트 45동 경비실,032-227-7502
인천,미추홀구,제물포스마트타운,인천광역시 미추홀구 석정로 229 1층 출입문 정면 특별피난계단 옆,인천광역시 남구 석정로 229 1층 출입문 정면 특별피난계단 옆,032-725-3092
인천,미추홀구,인천교통공사(인천지하철1호선),"인천광역시 미추홀구 예술로 지하85, 인천터미널역 (관교동)","인천 미추홀구 주안로 91-1, 주안역 2호선 고객센터",032-430-7313
인천,미추홀구,인천SKSKYVIEW아파트(인천에스케이스카이뷰아파트),인천광역시 미추홀구 용정공원로 33,커뮤니티센터 지하1층,032-881-6611
인천,미추홀구,용현금호2차아파트,인천광역시 미추홀구 매소홀로 68,관리동2층 입주자대표회의실앞,032-891-4097
인천,미추홀구,신비마을아파트,인천광역시 미추홀구 주승로 148,2단지 경로당 입구,032-425-2754
인천,미추홀구,주안신동아4차아파트,"인천광역시 미추홀구 학익소로61번길 132 (학익동, 신동아아파트4차)",주안신동아4차아파트 정문경비실,032-228-8440
인천,미추홀구,장미아파트,"인천광역시 미추홀구 소성로 72 (학익동, 장미아파트)",장미아파트 정문 출입구 경비실,032-867-5799
인천,미추홀구,인천SKSKYVIEW아파트(인천에스케이스카이뷰아파트),인천광역시 미추홀구 용정공원로 33,관리사무소내,032-881-6611
인천,미추홀구,인천용학초등학교,인천광역시 미추홀구 용정공원로83번길 9 인천용학초등학교,인천용학초등학교 본관 3층 중앙 복도,032-627-6300
인천,미추홀구,주안초등학교,인천광역시 미추홀구 남주길69번길 16 (주안동),인천주안초등학교 본관1층 우측 현관 앞,032-438-1402
인천,미추홀구,주안초등학교,인천광역시 미추홀구 남주길69번길 16 (주안동),인천주안초등학교 본관 1층 좌측 현관 앞,032-438-1402
인천,미추홀구,인천교통공사(인천지하철1호선),"인천광역시 미추홀구 예술로 지하85, 인천터미널역 (관교동)","인천광역시 미추홀구 구월로 19, 석바위시장역",032-430-7313
인천,미추홀구,주안진흥아파트,인천광역시 미추홀구 인하로298번길 33,진흥아파트 정문초소 안 책상 밑에 설치함,032-427-6274
인천,미추홀구,신동아8차아파트,인천광역시 미추홀구 매소홀로475번길 60 신동아8차아파트 104동 경비초소,매소홀로 475번길 60,032-866-9744
인천,미추홀구,신동아5차아파트,인천광역시 미추홀구 학익소로61번길 135,31동 앞 정문 경비실,032-874-3128
인천,미추홀구,인천SKSKYVIEW아파트(인천에스케이스카이뷰아파트),인천광역시 미추홀구 용정공원로 33,경비실(제3게이트)내,032-881-6611
인천,미추홀구,인천SKSKYVIEW아파트(인천에스케이스카이뷰아파트),인천광역시 미추홀구 용정공원로 33,커뮤니티센터 지상1층,032-881-6611
인천,미추홀구,인천전자마이스터고등학교,인천광역시 미추홀구 석정로 165 인천전자마이스터고,기숙사동(나래관) 1층 로비 중앙,032-764-7021
인천,미추홀구,인천교통공사(인천지하철1호선),"인천광역시 미추홀구 예술로 지하85, 인천터미널역 (관교동)","인천광역시 미추홀구 경인로 371, 시민공원역",032-430-7313
인천,미추홀구,용현신창미션힐아파트,인천광역시 미추홀구 매소홀로 171 관리실,관리사무소(관리동)1층설치,032-891-0565
인천,미추홀구,용현유원아파트,인천광역시 미추홀구 낙섬중로 102 용현유원아파트 정문경비실,용현유원아파트 정문경비실,032-884-2533
인천,미추홀구,문학경기장시설관리사업소,인천광역시 미추홀구 매소홀로 618 (문학경기장 시설관리사업소),야구장 4F 엘리베이터 부근,032-200-7516
인천,미추홀구,문학경기장시설관리사업소,인천광역시 미추홀구 매소홀로 618 (문학경기장 시설관리사업소),야구장 B1F 클럽하우스 부근,032-200-7516
인천,미추홀구,문학경기장시설관리사업소,인천광역시 미추홀구 매소홀로 618 (문학경기장 시설관리사업소),야구경기장 외야게애트 부근,032-200-7516
인천,미추홀구,문학경기장시설관리사업소,인천광역시 미추홀구 매소홀로 618 (문학경기장 시설관리사업소),야구장 1F VIP 출입구 부근,032-200-7516
인천,미추홀구,학익신동아3차아파트,인천광역시 미추홀구 매소홀로475번길 18 관리사무소 1층,학익신동아3차아파트관리사무소,032-867-1131
인천,미추홀구,도화서희스타힐스아파트,인천광역시 미추홀구 숙골로112번길 12 정문 경비실내 비치,정문 경비실내 비치,032-872-1212
인천,미추홀구,홈플러스인천숭의점,인천광역시 미추홀구 석정로 51 홈플러스 지하3층 고객센터옆,홈플러스인천숭의점,032-719-2020
인천,미추홀구,학익엑슬루타워아파트,"인천광역시 미추홀구 매소홀로309번길 32(학익동, 엑슬루타워)",커뮤니센터 로비데스크 상단,032-862-8116
인천,미추홀구,홈플러스(주)인하점,인천광역시 미추홀구 소성로 6 홈플러스 지하1층 고객센터 앞,홈프럴스스토어즈인하점 지하1층 고객센터 앞,032-713-5801
인천,미추홀구,인천무형유산전수교육관,인천광역시 미추홀구 매소홀로 599 본관동 지하1층 주출입구(안내데스크 부근),무형문화재 전수교육관 본관동 지하1층 주출입구(안내데스크 부근),032-440-8087
인천,미추홀구,인천비즈니스고등학교,인천광역시 미추홀구 장고개로 31 인천비즈니스고등학교 본관1층 중앙현관 우측,인천비즈니스고등학교 본관1층 중앙현관 우측,032-627-0487
인천,미추홀구,인천도화초등학교,인천광역시 미추홀구 경인로 242,인천광역시 남구 경인로 242 도화초등학교 본관동 1층 중앙현관 보건실 앞,032-874-2585
인천,미추홀구,인하대학교사범대학부속고등학교,인천광역시 미추홀구 재넘이길123번길 29 인하부고 본관2층 중앙현관 남자화장실 옆,인하부고(본관2층 중앙현관 남자교직원화장실 옆),032-870-1075
인천,미추홀구,인천용정초등학교,"인천광역시 미추홀구 독정안길 26, 용정초등학교 (숭의동)",강당(식당건물 2층),032-868-2384
인천,미추홀구,인천용현초등학교,인천광역시 미추홀구 낙섬동로 83 용현초등학교,인천용현초등학교 1동 1층 중앙현관,032-629-0679
인천,미추홀구,숭의4동주민센터,인천광역시 미추홀구 경인로156번길 32 숭의4동 주민센터,숭의4동 주민센터 민원실,032-880-4615
인천,미추홀구,인천학산초등학교,인천광역시 미추홀구 한나루로357번길 66 인천학산초등학교,학산초 본관동 1층 중앙현관 우측,032-865-7515
인천,미추홀구,승학초등학교,인천광역시 미추홀구 주승로 259 승학초등학교,승학초 본관동 1층 중앙현관,032-432-9775
인천,미추홀구,인화여자고등학교,"인천광역시 미추홀구 석정로 165, 인화여자고등학교 본관동1층 (도화동)",인화여자고등학교 본관 1층 중앙현관 앞,032-765-0621
인천,미추홀구,주안7동주민센터,인천광역시 미추홀구 인하로 265 주안7동 주민센터,주안7동 주민센터 민원실,032-880-4700
인천,미추홀구,인천전자마이스터고등학교,인천광역시 미추홀구 석정로 165 인천전자마이스터고,인천전자마이스터고 본관동1층 중앙현관 앞 나래쉼터,032-764-7021
인천,미추홀구,문학정보고등학교,인천광역시 미추홀구 소성로350번길 29 문학정보고,문학정보고 실습동 3층 콘텐츠 마케팅실 맞은쪽,032-627-0777
인천,미추홀구,주안2동주민센터,인천광역시 미추홀구 남주길43번길 14-29 주안2동 주민센터,주안2동 주민센터 민원실,032-880-4675
인천,미추홀구,인항고등학교,인천광역시 미추홀구 매소홀로 135 인항고등학교,인항고등학교 본관동 1층 중앙현관,032-885-3302
인천,미추홀구,인천용현남초등학교,인천광역시 미추홀구 매소홀로 133 인천용현남초등학교,인천용현남초등학교 신관 좌측 계단 앞,032-884-8467
인천,미추홀구,인천용현남초등학교,인천광역시 미추홀구 매소홀로 133 인천용현남초등학교,인천용현남초등학교 본관 중앙현관,032-884-8467
인천,미추홀구,인주중학교,인천광역시 미추홀구 매소홀로 335 인주중학교,인주중학교 본관동 3층 본교무실 앞 쉼터,032-863-9314
인천,미추홀구,인천학산초등학교,인천광역시 미추홀구 한나루로357번길 66 인천학산초등학교,학산초 본관동 4층 중앙현관 좌측,032-865-7515
인천,미추홀구,학익고등학교,인천광역시 미추홀구 한나루로358번길 23-22 학익고,학익고 본관동 1층 중앙현관,032-868-4143
인천,미추홀구,인천학익초등학교,인천광역시 미추홀구 한나루로403번길 122 학익초등학교,학익초 본관1층 중앙현관 후문 입구,032-629-0430
인천,미추홀구,인천대중예술고등학교,"인천광역시 미추홀구 석정로 165, 인천대중예술고등학교 (도화동)",1동 1층 출입현관,032-760-9119
인천,미추홀구,인천남부초등학교,인천광역시 미추홀구 인주대로366번길 22 인천남부초등학교,인천남부초등학교 솔빛관3층,032-629-1084
인천,미추홀구,관교여자중학교,인천광역시 미추홀구 경원대로 691 관교여자중학교,관교여자중학교 본관1층 중앙현관,032-438-0277
인천,미추홀구,경원초등학교,인천광역시 미추홀구 경인로 511 경원초등학교,인천 남구 경원초등학교 본관동 1층 중앙현관,032-438-1692
인천,미추홀구,남인천여자중학교,인천광역시 미추홀구 인하로 426 남인천여자중학교,남인천여자중학교 본관동 1층 중앙현관 행정실 맞은편,032-629-2457
인천,미추홀구,인하사대부속중학교,인천광역시 미추홀구 재넘이길123번길 29 인하사대부속중학교,인하사대부속중학교 2층 보건실 앞,032-452-9968
인천,미추홀구,인천남중학교,인천광역시 미추홀구 수봉로 16-23 인천남중학교,인천남중학교 본관동1층 중앙현관,032-629-2304
인천,미추홀구,인천대중예술고등학교,"인천광역시 미추홀구 석정로 165, 인천대중예술고등학교 (도화동)",3동 3층 보건실,032-760-9119
인천,미추홀구,인천주안남초등학교,인천광역시 미추홀구 인주대로434번길 11 인천주안남초등학교,인천주안남초등학교 본관동 1층(중앙현관),032-629-1175
인천,미추홀구,인천선인고등학교,인천광역시 미추홀구 석정로 165 인천선인고등학교,인천선인고등학교 본관동1층 중앙현관,032-761-6121
인천,미추홀구,주안도서관,인천광역시 미추홀구 구월남로 27 주안도서관,주안도서관,032-450-9103
인천,미추홀구,석암초등학교,인천광역시 미추홀구 주안동로 46 석암초등학교,석암초등학교 본관동1층 중앙현관,032-424-0143
인천,미추홀구,학익여자고등학교,인천광역시 미추홀구 주승로52번길 8 학익여자고등학교,학익여고 예연관 1층 현관,032-712-5612
인천,미추홀구,학익여자고등학교,인천광역시 미추홀구 주승로52번길 8 학익여자고등학교,학익여고 본관동 1층 중앙현관,032-712-5612
인천,미추홀구,인명여자고등학교,인천광역시 미추홀구 문화로 11 인명여자고등학교,인명여자고등학교 신관1층 중앙현관 정면,032-439-6083
인천,미추홀구,인천대화초등학교,인천광역시 미추홀구 석정로301번길 13 대화초등학교,인천대화초등학교 별관2층(스마트홀 앞),032-867-0046
인천,미추홀구,인천고등학교,인천광역시 미추홀구 경원대로 804 인천고등학교,인천고등학교 본관동 1층 중앙현관,032-451-0680
인천,미추홀구,용현여자중학교,인천광역시 미추홀구 낙섬동로 28 용현여자중학교,용현여자중학교 본관동 1층 중앙현관,032-884-8461
인천,미추홀구,인천연학초등학교,인천광역시 미추홀구 주승로 20 인천연학초교,인천연학초등학교 1층 중앙현관,032-629-1119
인천,미추홀구,인명여자고등학교,인천광역시 미추홀구 문화로 11 인명여자고등학교,인명여자고등학교 본관1층 중앙현관 정면,032-439-6083
인천,미추홀구,인천대화초등학교,인천광역시 미추홀구 석정로301번길 13 대화초등학교,인천대화초 본관1층 벽면설치,032-867-0046
인천,미추홀구,선인중학교,인천광역시 미추홀구 석정로 165 선인중학교,선인중학교 본관동 1층 중앙현관,032-765-3158
인천,미추홀구,용일초등학교,인천광역시 미추홀구 인주대로 244 용일초등학교,용일초등학교 2동 중앙현관,032-874-0500
인천,미추홀구,인천관교초등학교,인천광역시 미추홀구 인하로 414 인천관교초등학교,인천관교초등학교 본관동,032-629-1368
인천,미추홀구,인천인주초등학교,인천광역시 미추홀구 매소홀로475번길 53 인천인주초등학교,인천인주초등학교 3층 복도중앙,032-875-2607
인천,미추홀구,인천용학초등학교,인천광역시 미추홀구 용정공원로83번길 9 인천용학초등학교,인천용학초등학교 본관동1층 중앙현관,032-627-6300
인천,미추홀구,용일초등학교,인천광역시 미추홀구 인주대로 244 용일초등학교,용일초등학교 본관중앙현관,032-874-0500
인천,미추홀구,인화여자중학교,인천광역시 미추홀구 석정로 165 인화여자중학교,인화여자중학교 장미관 1층 중앙현관,032-763-4851
인천,미추홀구,용현중학교,인천광역시 미추홀구 낙섬동로 16 용현중학교,용현중학교 본관동1층 중앙현관,032-885-2509
인천,미추홀구,백학초등학교,인천광역시 미추홀구 매소홀로446번길 25 백학초등학교,백학초등학교 1층 중앙현관,032-868-6777
인천,미추홀구,인천주안남초등학교,인천광역시 미추홀구 인주대로434번길 11 인천주안남초등학교,인천주안남초등학교 신관동 1층(출입구),032-629-1175
인천,미추홀구,인천남부초등학교,인천광역시 미추홀구 인주대로366번길 22 인천남부초등학교,인천남부초등학교 본관동 1층 중앙현관,032-629-1084
인천,미추홀구,인천인주초등학교,인천광역시 미추홀구 매소홀로475번길 53 인천인주초등학교,인천인주초등학교 1층 중앙현관,032-875-2607
인천,미추홀구,관교중학교,인천광역시 미추홀구 경원대로670번길 19 관교중학교,관교중학교 본관동 1층 중앙현관,032-629-2900
인천,미추홀구,주안북초등학교,인천광역시 미추홀구 석정로375번길 14 인천주안북초등학교,주안북초 본관 1층 중앙현관,032-868-5578
인천,미추홀구,서화초등학교,인천광역시 미추홀구 송림로 250 서화초등학교,서화초등학교 본관동 1층 중앙현관,032-868-9234
인천,미추홀구,인천관교초등학교,인천광역시 미추홀구 인하로 414 인천관교초등학교,인천관교초등학교 별관동 1층 현관,032-629-1368
인천,미추홀구,문학초등학교,인천광역시 미추홀구 매소홀로 553 문학초등학교,문학초등학교 별관동1층 중앙현관,032-425-2801
인천,미추홀구,문학초등학교,인천광역시 미추홀구 매소홀로 553 문학초등학교,문학초등학교 본관동1층 중앙현관,032-425-2801
인천,미추홀구,용현5동주민센터,인천광역시 미추홀구 토금북로 60 용현5동 주민센터,용현5동 주민센터 민원실,032-880-4640
인천,미추홀구,용현엑슬루타워아파트,인천광역시 미추홀구 아암대로29번길 16,관리사무소,032-881-7242
인천,미추홀구,용현금호타운아파트,인천광역시 미추홀구 낙섬동로 9 관리사무소,용현금호타운아파트 중앙경비실,032-883-2711
인천,미추홀구,용현한양1차아파트,인천광역시 미추홀구 토금남로 55,정문 경비실 내,032-886-9063
인천,미추홀구,더월드스테이트아파트,인천광역시 미추홀구 경원대로 884,2단지 노인정앞,032-424-3124
인천,미추홀구,더월드스테이트아파트,인천광역시 미추홀구 경원대로 884,1단지 관리소앞 정면부,032-424-3124
인천,미추홀구,인천병무지청,인천광역시 미추홀구 노적산로 76 인천지방병무지청,인천병무지청,032-454-2330
