설치장소,주소,전화번호,출처,데이터기준일자
경상남도도립양산노인전문병원 (3층 2병동 로비),경상남도 양산시 상북면 양산대로 1870-64 경남도립노인전문병원,055-375-7275,중앙응급의료센터(E-Gen),2022-08-05
동면보건지소 (동면 보건지소진료실),경상남도 양산시 동면 영천1길 6 동면보건지소,055-392-4857,중앙응급의료센터(E-Gen),2022-08-05
천성리버타운아파트 (관리사무소),경상남도 양산시 소주회야로 75 천성리버타운아파트,055-362-6150,중앙응급의료센터(E-Gen),2022-08-05
양산대방노블랜드아파트 (관리사무소 내),경상남도 양산시 물금읍 신주1길 46,055-367-7251,중앙응급의료센터(E-Gen),2022-08-05
양산양우내안애아파트 (관리사무소내),경상남도 양산시 물금읍 야리로 30,055-367-3142,중앙응급의료센터(E-Gen),2022-08-05
e편한세상남양산2차아파트 (관리사무소내),경상남도 양산시 동면 금오13길 71,055-362-4069,중앙응급의료센터(E-Gen),2022-08-05
양산서창대동아파트 (관리사무소내),경상남도 양산시 소주로 181,055-388-2041,중앙응급의료센터(E-Gen),2022-08-05
양산동일스위트2차아파트 (경비실),경상남도 양산시 덕계5길 14,055-367-3900,중앙응급의료센터(E-Gen),2022-08-05
양산삼성명가타운아파트 (관리사무소내),경상남도 양산시 평산중앙로 88,055-362-4423,중앙응급의료센터(E-Gen),2022-08-05
양산대동이미지타운2차아파트 (관리사무소내),경상남도 양산시 대운로 338,055-362-3866,중앙응급의료센터(E-Gen),2022-08-05
양산북정동원아파트 (정문 경비실내),경상남도 양산시 북정로 116,055-388-4557,중앙응급의료센터(E-Gen),2022-08-05
해인그린빌아파트 (경비실 내),경상남도 양산시 삼호로 86,055-363-1188,중앙응급의료센터(E-Gen),2022-08-05
양산신도시뜰안채아파트 (관리사무소내),"경상남도 양산시 양주로 113 (중부동, 양산신도시뜰안채아파트)",055-388-3661,중앙응급의료센터(E-Gen),2022-08-05
양산반도유보라2차아파트 (관리사무소 입구),경상남도 양산시 물금읍 범어로 57,055-363-0053,중앙응급의료센터(E-Gen),2022-08-05
양산우미린아파트 (관리사무소내),경상남도 양산시 물금읍 범어로 77,055-367-8256,중앙응급의료센터(E-Gen),2022-08-05
양산2차e-편한세상아파트 (관리사무소내),경상남도 양산시 물금읍 신주로 35,055-387-0811,중앙응급의료센터(E-Gen),2022-08-05
양산동일스위트아파트 (관리사무소내),경상남도 양산시 물금읍 가촌서로 93,055-367-8622,중앙응급의료센터(E-Gen),2022-08-05
현대아파트 (정문 경비실내),경상남도 양산시 물금읍 오봉로 180,055-383-0489,중앙응급의료센터(E-Gen),2022-08-05
