순번,설치기관명칭,전화번호,주소,주소(도로명),장비사용여부,제조사,제조국가명,모델명
134,(사)대한노인회대전서구지회,042-526-4832,대전광역시 서구 계룡로342번길 28 (갈마동),대전광역시 서구 계룡로342번길 28 (갈마동),사용중,필립스,미국,Heartstart HS1
135,밝은누리안과병원,042-485-6644,대전광역시 서구 둔산로 61 (둔산동),대전광역시 서구 둔산로 61 (둔산동),사용중,나눔테크,대한민국,저출력자동심장충격기
136,대전세종충남혈액원 헌혈의집 둔산센터,042-486-2166,"대전광역시 서구 대덕대로 199, 5층 (둔산동)","대전광역시 서구 대덕대로 199, 5층 (둔산동)",사용중,(주)나눔테크,대한민국,NT-5000
137,대전백운초등학교,042-536-2101,"대전광역시 서구 계룡로576번길 56, 백운초등학교 (괴정동)","대전광역시 서구 계룡로576번길 56, 백운초등학교 (괴정동)",사용중,(주)나눔테크,대한민국,ReHeart Trainer
138,대전지방경찰청,042-609-2521,"대전광역시 서구 둔산중로 77, 대전지방경찰청 (둔산동)","대전광역시 서구 둔산중로 77, 대전지방경찰청 (둔산동)",사용중,(주)씨유메디칼시스템,대한민국,CU-SPR
139,둔산1동행정복지센터,042-288-5213,"대전광역시 서구 둔산중로 65, 둔산1동행정복지센터 (둔산동)","대전광역시 서구 둔산중로 65, 둔산1동행정복지센터 (둔산동)",사용중,(주)씨유메디칼시스템,대한민국,CU-SPR
140,서구노인복지관,042-488-6297,"대전광역시 서구 남선로 66, 서구노인복지관 (탄방동)","대전광역시 서구 남선로 66, 서구노인복지관 (탄방동)",사용중,(주)씨유메디칼시스템,대한민국,CU-SPR
141,가장동행정복지센터,042-288-5330,"대전광역시 서구 들말4길 6, 가장동행정복지센터 (가장동)","대전광역시 서구 들말4길 6, 가장동행정복지센터 (가장동)",사용중,(주)씨유메디칼시스템,대한민국,CU-SPR
142,한국산림복지진흥원,042-719-4054,"대전광역시 서구 둔산북로 121, 아너스빌오피스텔 3층 (둔산동)","대전광역시 서구 둔산북로 121, 아너스빌오피스텔 3층 (둔산동)",사용중,(주)라디안큐바이오,대한민국,HR-503
143,한국산림복지진흥원,042-719-4054,"대전광역시 서구 둔산북로 121, 아너스빌오피스텔 3층 (둔산동)","대전광역시 서구 둔산북로 121, 아너스빌오피스텔 3층 (둔산동)",사용중,(주)라디안큐바이오,대한민국,HR-503
144,탄탄병원,042-476-0001,대전광역시 서구 계룡로553번길 72 (탄방동),대전광역시 서구 계룡로553번길 72 (탄방동),사용중,메디아나,한국,A15-G4
145,탄탄병원,042-476-0001,대전광역시 서구 계룡로553번길 72 (탄방동),대전광역시 서구 계룡로553번길 72 (탄방동),사용중,메디아나,한국,A15-G4
146,통계청,042-481-2018,"대전광역시 서구 청사로 189, 정부대전청사 3동 16층 (둔산동)","대전광역시 서구 청사로 189, 정부대전청사 3동 16층 (둔산동)",사용중,라이안큐바이오,대한민국,HR-503
147,온누리좋은요양병원,042-719-1117,"대전광역시 서구 동서대로 1147, 온누리크리닉 (가장동)","대전광역시 서구 동서대로 1147, 온누리크리닉 (가장동)",사용중,(주)라디안큐바이오,한국,HR-501
148,의료법인삼영의료재단둔산병원,042-488-4671,대전광역시 서구 괴정동 3-18 삼영빌딩,"대전광역시 서구 계룡로 568, 4~6층 (괴정동, 삼영빌딩)",사용중,메디아나,한국,HeartOnA10
149,써지탑병원,042-484-9898,대전광역시 서구 대덕대로 238 (둔산동),대전광역시 서구 대덕대로 238 (둔산동),사용중,(주)나눔테크,한국,HeartKeeper
150,킴벨피부과병원,042-471-7575,대전광역시 서구 대덕대로 238 (둔산동),대전광역시 서구 대덕대로 238 (둔산동),사용중,(주)나눔테크,한국,HeartSAver NT-285
151,글로벌삼육오엠씨병원,042-488-3653,"대전광역시 서구 대덕대로 194, 백마빌딩 (둔산동)","대전광역시 서구 대덕대로 194, 백마빌딩 (둔산동)",사용중,라디안큐바이오,한국,HR 501
152,대전센텀병원,042-481-0100,대전광역시 서구 청사로 234 (둔산동),대전광역시 서구 청사로 234 (둔산동),사용중,메디아나,한국,A15-G4
153,의료법인정다운의료재단 나진요양병원,042-520-6516,"대전광역시 서구 갈마로 122, 나진요양병원 (괴정동)","대전광역시 서구 갈마로 122, 나진요양병원 (괴정동)",사용중,메디아나,한국,HeartOnA15-G4
154,푸른요양병원,042-483-9975,"대전광역시 서구 월평중로 24, 푸른크리닉 (월평동)","대전광역시 서구 월평중로 24, 푸른크리닉 (월평동)",사용중,(주)씨유메디칼시스템,한국,i-PAD NF1200
155,허리사랑병원,042-528-7588,"대전광역시 서구 계룡로 618, 허리사랑병원 (괴정동)","대전광역시 서구 계룡로 618, 허리사랑병원 (괴정동)",사용중,메디아나,한국,HeartON A15-G4
156,바른생각병원,042-337-0001,대전광역시 서구 청사로 128 (월평동),대전광역시 서구 청사로 128 (월평동),사용중,니혼코덴,일본,AED-2100K
157,미즈여성병원,042-483-3575,"대전광역시 서구 문정로2번길 95, 주안빌딩 (탄방동)","대전광역시 서구 문정로2번길 95, 주안빌딩 (탄방동)",사용중,나눔테크,한국,Heart Keeper
158,탄탄병원,042-476-0001,대전광역시 서구 계룡로553번길 72 (탄방동),대전광역시 서구 계룡로553번길 72 (탄방동),사용중,메디아나,한국,HeartOn A15-G4
159,마인드병원,042-528-6500,대전광역시 서구 대덕대로242번길 48 (둔산동),대전광역시 서구 대덕대로242번길 48 (둔산동),사용중,(주)나눔테크,한국,Heartkeeper
160,고운손병원,042-472-7445,"대전광역시 서구 둔산서로 59, 고운손빌딩 (둔산동)","대전광역시 서구 둔산서로 59, 고운손빌딩 (둔산동)",사용중,(주)메디아나,한국,HeartOnA15-G4
161,서울여성병원,042-488-8275,"대전광역시 서구 문정로 7, 신한일빌딩 (둔산동)","대전광역시 서구 문정로 7, 신한일빌딩 (둔산동)",사용중,나눔테크,한국,HeartKeeper
162,에스앤케이병원,042-476-9000,대전광역시 서구 둔산동 963,"대전광역시 서구 둔산북로 36, 3,4,5층 (둔산동)",사용중,니혼코덴,일본,AED-2100K
163,탄방엠블병원,1899-2955,대전광역시 서구 문정로48번길 70 (탄방동),대전광역시 서구 문정로48번길 70 (탄방동),사용중,(주)나눔테크,한국,HeartKeeper
164,다빈치병원,1566-9852,"대전광역시 서구 계룡로553번길 60, 다빈치병원 (탄방동)","대전광역시 서구 계룡로553번길 60, 다빈치병원 (탄방동)",사용중,니혼코덴,일본,AED-2100K
165,더블유여성병원,042-485-7777,"대전광역시 서구 문정로48번길 70, 3층 (탄방동)",대전광역시 서구 문정로48번길 70 (탄방동),사용중,나눔테크,한국,A-170
166,가톨릭병원,042-280-5928,"대전광역시 서구 도산로 351, 가톨릭병원 (용문동)","대전광역시 서구 도산로 351, 가톨릭병원 (용문동)",사용중,니혼코덴,일본,AED-2100K
167,성심요양병원,042-533-8275,대전광역시 서구 갈마로 45 (갈마동),대전광역시 서구 갈마로 45 (갈마동),사용중,(주)메디아나,한국,REF A10M-G4-OK
168,서울영상의학과의원,042-472-7501,대전광역시 서구 문정로 30 (탄방동),대전광역시 서구 문정로 30 (탄방동),사용중,(주)나눔테크,한국,HeartKeeper
169,대전우리병원,1577-0052,대전광역시 서구 문정로48번길 70 (탄방동),대전광역시 서구 문정로48번길 70 (탄방동),사용중,메디아나,한국,HeartOnA15-G4
170,동양굿모닝영상의학과의원,042-523-1114,대전광역시 서구 계룡로 607 (탄방동),대전광역시 서구 계룡로 607 (탄방동),사용중,메디아나,한국,HeartOnA15-G4
171,의료법인지덕사의료재단양녕요양병원,042-528-0001,"대전광역시 서구 신갈마로 126, 양녕요양병원 (갈마동)","대전광역시 서구 신갈마로 126, 양녕요양병원 (갈마동)",사용중,니혼코덴,일본,AED-2100K
172,마라톤정형외과병원,042-719-1199,대전광역시 서구 둔산남로 87 (둔산동),대전광역시 서구 둔산남로 87 (둔산동),사용중,(주)라디안큐바이오,한국,HeartGuardianHR-501
173,조이병원,042-485-2235,"대전광역시 서구 계룡로553번길 18, 조이빌딩 (탄방동)","대전광역시 서구 계룡로553번길 18, 조이빌딩 (탄방동)",사용중,메디아나,한국,A15M-G4-OK
174,의료법인대전참사랑의료재단대전참사랑요양병원,042-478-9922,"대전광역시 서구 계룡로491번길 8 (둔산동, 갤러리빌4차)","대전광역시 서구 계룡로491번길 8 (둔산동, 갤러리빌4차)",사용중,(주)메디아나,메디아나,A15M-G4-OK
175,의료법인선사인혜요양병원,042-472-0129,대전광역시 서구 대덕대로317번길 26 (월평동),대전광역시 서구 대덕대로317번길 26 (월평동),사용중,(주)메디아나,한국,HeartOnA15-G4
176,연합정형외과병원,042-536-0911,대전광역시 서구 계룡로 619 (탄방동),대전광역시 서구 계룡로 619 (탄방동),사용중,메디아나,한국,A15
177,글로벌삼육오엠씨병원,042-488-3653,"대전광역시 서구 대덕대로 194, 백마빌딩 (둔산동)","대전광역시 서구 대덕대로 194, 백마빌딩 (둔산동)",사용중,SCHILLERMEDICAL,미국,DEFIGARD5000
178,보아스요양병원,042-537-2000,대전광역시 서구 변동 12번지 9호,대전광역시 서구 도산로 224 (변동),사용중,메디아나,한국,Hearton A15-G4
179,사회복지법인한마음정신병원,042-582-9700,대전광역시 서구 장안동 513번지,대전광역시 서구 삼보실길 123 (장안동),사용중,RADIAN,대한민국,HR-501
180,문화재청,042-481-4633,대전광역시 서구 청사로 189,대전광역시 서구 청사로 189,사용중,(주)씨유메디칼,한국,CU-SP1
181,대전추모공원,042-602-2512,대전광역시 서구 상보안윗길 160 (괴곡동),대전광역시 서구 상보안윗길 160 (괴곡동),사용중,필립스,일본,HeratStart HS1
182,복수센터럴자이아파트,042-716-7046,"대전광역시 서구 복수서로 15, 1층 (복수동, 복수센트럴자이)","대전광역시 서구 복수서로 15, 1층 (복수동, 복수센트럴자이)",사용중,라디안큐바이오,한국,HR-501스탠드형
183,대전청사관리소,042-481-6014,"대전광역시 서구 청사로 189, 정부대전청사 (둔산동)","대전광역시 서구 청사로 189, 정부대전청사 (둔산동)",사용중,(주)라디안큐바이오,한국,Heart Guardian
184,대전청사관리소,042-481-6014,"대전광역시 서구 청사로 189, 정부대전청사 (둔산동)","대전광역시 서구 청사로 189, 정부대전청사 (둔산동)",사용중,씨유메디칼시스템,대한민국,I-PAD MC100
185,대전청사관리소,042-481-6014,"대전광역시 서구 청사로 189, 정부대전청사 (둔산동)","대전광역시 서구 청사로 189, 정부대전청사 (둔산동)",사용중,씨유메디칼시스템,대한민국,I-PAD MC100
186,대전청사관리소,042-481-6014,"대전광역시 서구 청사로 189, 정부대전청사 (둔산동)","대전광역시 서구 청사로 189, 정부대전청사 (둔산동)",사용중,씨유메디칼시스템,대한민국,I-PAD MC100
187,대전청사관리소,042-481-6014,"대전광역시 서구 청사로 189, 정부대전청사 (둔산동)","대전광역시 서구 청사로 189, 정부대전청사 (둔산동)",사용중,라디안큐바이오,대한민국,Heart guardian
188,대전고암미술문화재단(이응노미술관),,"대전광역시 서구 둔산대로 157, 이응노미술관 (만년동)","대전광역시 서구 둔산대로 157, 이응노미술관 (만년동)",사용중,라디안큐바이오,대한민국,HR-501B
189,큰마을아파트,042-522-0365,대전광역시 서구 대덕대로 150,대전광역시 서구 대덕대로 150,사용중,(주)씨유메디컬시스템,한국,NF1200
190,도솔청소년문화의집,042-525-1913,"대전광역시 서구 도마동 426 도솔다목적체육관, 청소년문화의집","대전광역시 서구 배재로197번길 41, 도솔다목적체육관, 청소년문화의집 (도마동)",사용중,(주)나눔테크,한국,NT-381.C
191,관저더샵2차아파트,042-542-9741,"대전광역시 서구 구봉산북로 52 (관저동, 관저더샵2차)","대전광역시 서구 구봉산북로 52 (관저동, 관저더샵2차)",사용중,라디안,한국,HR-503-KT
192,대전광역시도시철도공사(탄방역),042-539-3610,대전광역시 서구 월평동 160번지 20호 대전광역시도시철도공사,"대전광역시 서구 월드컵대로 480, 대전광역시도시철도공사 (월평동)",사용중,(주)씨유메디칼시스템,한국,CU-SP1
193,대전교통공사(정부청사역),042-539-3612,"대전광역시 서구 한밭대로 지하 744 대합실, 판암역방면 상선승강장, 반석역방면 하선승강장 (둔산동)",대전광역시 서구 한밭대로 지하 744  (둔산동),사용중,(주)씨유메디칼시스템,한국,CU-SP1
194,대전서부소방서,042-270-1747,대전광역시 서구 복수서로 67,대전광역시 서구 복수서로 67,사용중,니혼코텐,일본,EMS-1052
195,대전서부소방서,042-270-1747,대전광역시 서구 복수서로 67,대전광역시 서구 복수서로 67,사용중,니혼코텐,일본,EMS-1052
196,대전서부소방서,042-270-1747,대전광역시 서구 복수서로 67,대전광역시 서구 복수서로 67,사용중,니혼코덴,일본,EMS-1052
197,대전서부소방서,042-270-1747,대전광역시 서구 복수서로 67,대전광역시 서구 복수서로 67,사용중,니혼코덴,일본,TEC-8352K
198,대전서부소방서,042-270-1747,대전광역시 서구 복수서로 67,대전광역시 서구 복수서로 67,사용중,니혼코덴,일본,EMS-1052
199,대전서부소방서,042-270-1747,대전광역시 서구 복수서로 67,대전광역시 서구 복수서로 67,사용중,ZOLL,대한민국,Xseries
200,대전서부소방서,042-270-1747,대전광역시 서구 복수서로 67,대전광역시 서구 복수서로 67,사용중,니혼코텐,일본,EMS-1052
201,대전서부소방서,042-270-1747,대전광역시 서구 복수서로 67,대전광역시 서구 복수서로 67,사용중,니혼코텐,일본,TEC-8352K
202,대전서부소방서,042-270-1747,대전광역시 서구 복수서로 67,대전광역시 서구 복수서로 67,사용중,zoll medical,미국,zoll x series
203,대전광역시서구의회,042-288-4940,대전광역시 서구 둔산서로 100,대전광역시 서구 둔산서로 100,사용중,(주)씨유메디칼시스템,대한민국,CU-SPR
204,둔산3동행정복지센터,042-288-5276,대전광역시 서구 둔산북로 232-52  (둔산동),대전광역시 서구 둔산북로 232-52  (둔산동),사용중,씨유메디칼시스템,한국,cu-sp1 plus
205,CGV대전탄방,042-486-0521,대전광역시 서구 문정로 85,대전광역시 서구 문정로 85,사용중,(주)나눔테크,대한민국,저출력심장충격기
206,CGV대전탄방,042-486-0521,대전광역시 서구 문정로 85,대전광역시 서구 문정로 85,사용중,(주)나눔테크,대한민국,저출력심장충격기
207,CGV대전탄방,042-486-0521,대전광역시 서구 문정로 85,대전광역시 서구 문정로 85,사용중,(주)나눔테크,대한민국,저출력심장충격기
208,CGV대전탄방,042-486-0521,대전광역시 서구 문정로 85,대전광역시 서구 문정로 85,사용중,(주)나눔테크,대한민국,저출력심장충격기
209,CGV대전탄방,042-486-0521,대전광역시 서구 문정로 85,대전광역시 서구 문정로 85,사용중,(주)나눔테크,대한민국,저출력심장충격기
210,CGV대전탄방,042-486-0521,대전광역시 서구 문정로 85,대전광역시 서구 문정로 85,사용중,(주)나눔테크,대한민국,저출력심장충격기
211,내동 서우아파트,042-532-6487,"대전광역시 서구 동서대로 994 103동 1층 현관 (내동, 서우아파트)","대전광역시 서구 동서대로 994 내동서우아파트 (내동, 서우아파트)",사용중,(주)라디안,한국,HR-501-B
212,내동 서우아파트,042-532-6487,"대전광역시 서구 동서대로 994 103동 1층 현관 (내동, 서우아파트)","대전광역시 서구 동서대로 994 내동서우아파트 (내동, 서우아파트)",사용중,(주)라디안,한국,HR-501-B
213,내동 서우아파트,042-532-6487,"대전광역시 서구 동서대로 994 103동 1층 현관 (내동, 서우아파트)","대전광역시 서구 동서대로 994 내동서우아파트 (내동, 서우아파트)",사용중,(주)라디안,한국,HR-501-B
214,한국교통안전공단 대전자동차검사소,042-523-5095,대전광역시 서구 변동로 44 1층 입구 (변동),대전광역시 서구 변동로 44 1층 입구 (변동),사용중,씨유메디칼시스템,한국,CU-SP1
215,한국교통안전공단 대전자동차검사소,042-523-5095,대전광역시 서구 변동로 44 1층 입구 (변동),대전광역시 서구 변동로 44 1층 입구 (변동),사용중,씨유메디칼시스템,한국,CU1-Plus
216,월평3동 행정복지센터,042-288-5510,대전광역시 서구 월평동 310번지 월평3동행정복지센터,"대전광역시 서구 청사로 27-9, 월평3동행정복지센터 1층 (월평동)",사용중,씨유메디칼시스템,한국,cu-sp1 plus
217,둔산2동 행정복지센터,042-288-5240,대전광역시 서구 둔산서로 80 1층 입구 (둔산동),대전광역시 서구 둔산서로 80 1층 입구 (둔산동),사용중,씨유메디칼시스템,한국,CU-SP1
218,월평타운아파트,042-523-2203,"대전광역시 서구 계룡로264번길 4 관리사무소 (월평동, 월평타운)","대전광역시 서구 계룡로264번길 4  (월평동, 월평타운)",사용중,씨유메디칼시스템,한국,cu-sp plus
219,가수원동행정복지센터,042-288-5574,대전광역시 서구 가수원로 105  (가수원동),대전광역시 서구 가수원로 105  (가수원동),사용중,씨유메디칼시스템,한국,cu-sp1 plus
220,관저더샵1차아파트,042-545-9928,"대전광역시 서구 관저서로 19, 관리사무소","대전광역시 서구 관저서로 19  (관저동, 관저더샵)",사용중,(주)라디안,한국,저출력심장충격기
221,관저더샵1차아파트,042-545-9928,"대전광역시 서구 관저서로 19, 관리사무소","대전광역시 서구 관저서로 19  (관저동, 관저더샵)",사용중,(주)라디안,한국,저출력심장충격기
222,관저예미지 명가의 풍경,042-544-3435,"대전광역시 서구 관저중로 33 관리사무소 내 (관저동, 관저예미지 명가의 풍경)","대전광역시 서구 관저중로 33  (관저동, 관저예미지 명가의 풍경)",사용중,라디안,한국,저출력심장충격기
223,관저예미지 명가의 풍경,042-544-3435,"대전광역시 서구 관저중로 33 관리사무소 내 (관저동, 관저예미지 명가의 풍경)","대전광역시 서구 관저중로 33  (관저동, 관저예미지 명가의 풍경)",사용중,라디안,한국,저출력심장충격기
224,대전도안중학교,042-545-9701,대전광역시 서구 원도안로 160  (도안동),대전광역시 서구 원도안로 160  (도안동),사용중,라디안,한국,HR-501
225,오량마을마루미아파트,042-586-6760,"대전광역시 서구 복수중로 30  (복수동, 오량마을마루미)","대전광역시 서구 복수중로 30  (복수동, 오량마을마루미)",사용중,(주)라디안,대한민국,d
226,은뜰마을,042-484-1950,대전광역시 서구 월평동 218-7 은뜰마을,"대전광역시 서구 월평북로 13(월평동, 은뜰마을)",사용중,(주)라디안,대한민국,HR-501-B
227,삼익목화1차아파트,042-583-4913,"대전광역시 서구 복수서로 50 106동 경비초소 (복수동, 삼익목화아파트)","대전광역시 서구 복수서로 50  (복수동, 삼익목화아파트)",사용중,(주)라디안,대한민국,HR-501
228,삼익목화1차아파트,042-583-4913,"대전광역시 서구 복수서로 50 106동 경비초소 (복수동, 삼익목화아파트)","대전광역시 서구 복수서로 50  (복수동, 삼익목화아파트)",사용중,(주)라디안,한국,HeartKeeper
229,한마루럭키아파트,042-482-6534,"대전광역시 서구 둔산북로 160 관리동 1층 (둔산동, 한마루아파트)","대전광역시 서구 둔산북로 160  (둔산동, 한마루아파트)",사용중,(주)나눔테크,한국,HeartKeeper
230,정림우성아파트,042-582-8211,"대전광역시 서구 정림로 55 11초소 (정림동, 우성아파트1차)","대전광역시 서구 정림로 55  (정림동, 우성아파트1차)",사용중,(주)나눔테크,한국,Heart Keeper
231,정림우성아파트,042-582-8211,"대전광역시 서구 정림로 55 11초소 (정림동, 우성아파트1차)","대전광역시 서구 정림로 55  (정림동, 우성아파트1차)",사용중,(주)나눔테크,한국,Heart Keeper
232,보라1단지 아파트,042-482-0166,"대전광역시 서구 둔산로 241  (둔산동, 보라아파트)","대전광역시 서구 둔산로 241  (둔산동, 보라아파트)",사용중,(주)씨유메디칼,한국,CU-SP1
233,구봉마을5단지 아파트,042-545-9051,"대전광역시 서구 관저로 51 경비실 제5초소 측벽 (관저동, 구봉마을)","대전광역시 서구 관저로 51  (관저동, 구봉마을)",사용중,(주)라디안,한국,HR-501-B
234,둔산크로바아파트,042-482-2194,"대전광역시 서구 둔산로 155 관리동 복도 (둔산동, 크로바아파트)","대전광역시 서구 둔산로 155  (둔산동, 크로바아파트)",사용중,(주)라디안,한국,HR-501-B
235,국화우성아파트,042-482-1529,"대전광역시 서구 둔산로 201 관리소 1층 (둔산동, 국화아파트)","대전광역시 서구 둔산로 201  (둔산동, 국화아파트)",사용중,(주)라디안,한국,HR-501-B
236,동산맨션 아파트,042-523-3703,"대전광역시 서구 갈마중로7번길 42 관리사무소 (갈마동, 동산맨션)","대전광역시 서구 갈마중로7번길 42  (갈마동, 동산맨션)",사용중,(주)라디안,한국,HR-501-B
237,맑은아침아파트,042-524-3210,"대전광역시 서구 갈마로 262 관리사무소 1층 (내동, 맑은아침 아파트)","대전광역시 서구 갈마로 262  (내동, 맑은아침 아파트)",사용중,(주)나눔테크,한국,HeartSaver NT-285
238,향촌현대아파트,042-485-4233,"대전광역시 서구 둔산로 15 관리동 1층 노인정 앞 (둔산동, 향촌아파트)","대전광역시 서구 둔산로 15  (둔산동, 향촌아파트)",사용중,(주)나눔테크,한국,Heart Keeper
239,대우 꿈나무아파트,042-488-0467,"대전광역시 서구 청사로 253 관리사무소 1층입구 (둔산동, 꿈나무아파트)","대전광역시 서구 청사로 253  (둔산동, 꿈나무아파트)",사용중,(주)라디안,한국,HR-501-B
240,국화동성아파트,042-482-2839,"대전광역시 서구 둔산로 201 관리사무소 1층 유리문 안쪽 (둔산동, 국화아파트)","대전광역시 서구 둔산로 201  (둔산동, 국화아파트)",사용중,(주)나눔테크,한국,HeartSaver-A
241,효성타운아파트,042-584-6375,대전광역시 서구 도마동 180-2 효성타운,"대전광역시 서구 도산로 11 (도마동, 효성타운)",사용중,(주)라디안,한국,HR-501
242,하나로아파트,042-486-0297,"대전광역시 서구 청사로 5 관리사무소내 (월평동, 하나로아파트)","대전광역시 서구 청사로 5  (월평동, 하나로아파트)",사용중,(주)라디안,한국,HR-501스탠드
243,샘머리아파트 1단지,042-489-2432,"대전광역시 서구 문예로 174 관리사무소 1층 (둔산동, 샘머리아파트)","대전광역시 서구 문예로 174  (둔산동, 샘머리아파트)",사용중,(주)라디안,한국,HR-501
244,수정타운아파트,042-484-0697,"대전광역시 서구 청사로 282 노인정 1층 현관입구 (둔산동, 수정타운)","대전광역시 서구 청사로 282  (둔산동, 수정타운)",사용중,(주)라디안,한국,HR-501
245,만년동 상록수아파트,042-485-8473,"대전광역시 서구 만년남로 8 103동 3,4C입구 우편함옆 (만년동, 상록수아파트)","대전광역시 서구 만년남로 8  (만년동, 상록수아파트)",사용중,(주)라디안,한국,HR-501-B
246,국화라이프아파트,042-482-0208,"대전광역시 서구 둔산로 201 관리동 1층 현관 (둔산동, 국화아파트)","대전광역시 서구 둔산로 201 관리동 (둔산동, 국화아파트)",사용중,(주)메디아나,한국,저출력심장출력기A10
247,초록마을 5단지아파트,042-582-4887,"대전광역시 서구 유등로17번길 109 관리사무동 1층 (복수동, 초록마을5단지)","대전광역시 서구 유등로17번길 109 관리사무동 1층 (복수동, 초록마을5단지)",사용중,(주)라디안,한국,HR-501-B
248,복수계룡아파트,042-581-6273,"대전광역시 서구 복수서로 10 통합경비실 (복수동, 계룡아파트)","대전광역시 서구 복수서로 10 통합경비실 (복수동, 계룡아파트)",사용중,(주)씨유메디칼,한국,i-PAD CU-SPI Plus
249,서구치매안심센터,042-288-4470,대전광역시 서구 둔산서로 100 서구체련관 3층 치매안심센터 (둔산동),대전광역시 서구 둔산서로 100 서구체련관 3층 (둔산동),사용중,(주)나눔테크,한국,NT-381.C
250,중부모터스(주)토요타 대전,042-631-3369,"대전광역시 서구 벌곡로 1358, 1층 (가수원동)",대전광역시 서구 벌곡로 1358 (가수원동),사용중,(주)라디안,한국,HR-501
251,대전선유초등학교,042-540-5119,"대전광역시 서구 관저남로 60, 대전선유초등학교 (관저동)","대전광역시 서구 관저남로 60, 대전선유초등학교 (관저동)",사용중,CU메디컬시스템,한국,CU-SP1 Plus
252,대전서부경찰서,042-600-3557,"대전광역시 서구 복수서로 47, 대전서부경찰서 1층 (복수동)","대전광역시 서구 복수서로 47, 대전서부경찰서 1층 (복수동)",사용중,라디안큐바이오,대한민구,자동심장충격기
253,대전서부경찰서,042-600-3557,"대전광역시 서구 복수서로 47, 대전서부경찰서 1층 (복수동)","대전광역시 서구 복수서로 47, 대전서부경찰서 1층 (복수동)",사용중,라디안큐바이오,대한민국,자동심장충격기
254,대전서부경찰서,042-600-3557,"대전광역시 서구 복수서로 47, 대전서부경찰서 1층 (복수동)","대전광역시 서구 복수서로 47, 대전서부경찰서 1층 (복수동)",사용중,(주)씨유메디칼시스템,한국,CU-SP1 Plus
255,유등노인복지관,042-528-0890,대전광역시 서구 도마동 413-3,"대전광역시 서구 도솔로 182, 2층 (도마동)",사용중,(주)씨유메디칼시스템,한국,CU-SP1 Plus
256,사단법인도마큰시장상인회,042-531-8889,대전광역시 서구 도마동 132-3 도마큰시장 고객센터,"대전광역시 서구 도마4길 69, 도마큰시장 고객센터 1층 (도마동)",사용중,(주)씨유메디칼시스템,한국,CU-SP1 Plus
257,한민시장상인회,042-522-9094,"대전광역시 서구 가장로 94, 1층 (괴정동)","대전광역시 서구 가장로 94, 1층 (괴정동)",사용중,(주)씨유메디칼시스템,한국,CU-SP1 Plus
258,대전광역시 서구건강체련관,042-488-3054,"대전광역시 서구 둔산서로 100, 서구청 1층 (둔산동)","대전광역시 서구 둔산서로 100, 서구청 1층 (둔산동)",사용중,(주)씨유메디칼시스템,한국,CU-SP1 Plus
259,둔산경찰서 갈마지구대,042-600-5302,"대전광역시 서구 신갈마로 211, 갈마지구대 1층 (갈마동)","대전광역시 서구 신갈마로 211, 갈마지구대 (갈마동)",사용중,(주)씨유메디칼시스템,한국,CU-SP1 plus
260,둔산가람아파트,042-482-0496,"대전광역시 서구 둔산북로 215 1층 노인정 (둔산동, 가람아파트)","대전광역시 서구 둔산북로 215 1층 노인정 (둔산동, 가람아파트)",사용중,(주)라디안,한국,HR-501-B
261,괴정동 한신아파트,042-535-0400,"대전광역시 서구 계룡로536번길 9 관리동 1층 출입구 우측 (괴정동, 한신아파트)","대전광역시 서구 계룡로536번길 9 관리동 1층 출입구 우측 (괴정동, 한신아파트)",사용중,(주)라디안,한국,HR-501-B
262,내동 롯데아파트,042-533-1423,"대전광역시 서구 신갈마로 46 관리동 2층 관리사무소 앞 (내동, 롯데아파트)","대전광역시 서구 신갈마로 46 관리동 2층 관리사무소 앞 (내동, 롯데아파트)",사용중,(주)라디안,한국,HR-501-B
263,은아아파트 5단지,042-541-8297,"대전광역시 서구 가수원로 5 503동 공동현관 입구 (가수원동, 은아아파트5단지)","대전광역시 서구 가수원로 5 은아아파트5단지 관리사무소 (가수원동, 은아아파트5단지)",사용중,라디안큐바이오,대한민국,HR-501
264,은아아파트 5단지,042-541-8297,"대전광역시 서구 가수원로 5 503동 공동현관 입구 (가수원동, 은아아파트5단지)","대전광역시 서구 가수원로 5 은아아파트5단지 관리사무소 (가수원동, 은아아파트5단지)",사용중,(주)라디안,한국,HR-501
265,가수원 계룡아파트,042-541-9376,"대전광역시 서구 가수원로 98 관리사무소 (가수원동, 계룡아파트)","대전광역시 서구 가수원로 98 관리사무소 (가수원동, 계룡아파트)",사용중,(주)라디안,한국,HR-501-B
266,도안14블록 한라비발디A 관리사무소,042-825-5788,"대전광역시 서구 도안북로 136 관리사무소 내부 (도안동, 한라비발디)","대전광역시 서구 도안북로 136 관리사무소 내부 (도안동, 한라비발디)",사용중,(주)라디안,한국,HR-501-B
267,경남아파트 2단지,042-524-8818,대전광역시 서구 도마동 211 경남아파트2단지,"대전광역시 서구 배재로 155-7 (도마동, 경남아파트2단지)",사용중,(주)메디아나,한국,저출력심장충격기 HeartOnA15-G4
268,공작한양아파트,042-482-6252,"대전광역시 서구 문정로 131 경로당 출입문 내부 (탄방동, 공작한양아파트)","대전광역시 서구 문정로 131 경로당 출입문 내부 (탄방동, 공작한양아파트)",사용중,(주)라디안,한국,저출력 심장 충격기
