순번,설치장소,도로명주소,전화번호,데이터기준일
267,종로산업정보학교,서울특별시 종로구 숭인동 242-36 종로산업정보학교,02-2237-9728,2024-07-18
268,동익빌라,서울특별시 종로구 구기동 40 동익빌라,02-3217-1209,2024-07-18
269,한국문화예술위원회 아르코예술극장,서울특별시 종로구 동숭동 1-111 한국문예회관,02-3668-0022,2024-07-18
270,서울특별시광역치매센터,서울특별시 종로구 연건동 195-10 이화에수풀,02-711-3809,2024-07-18
271,통의파출소,서울특별시 종로구 통의동 35-66 통의파출소,02-732-1045,2024-07-18
272,국립고궁박물관,서울특별시 종로구 세종로 1-57 국립고궁박물관,02-3701-7622,2024-07-18
273,cu종로으뜸점,서울특별시 종로구 관수동 26,,2024-07-18
274,cu경희당점,서울특별시 종로구 신문로2가 1-102,,2024-07-18
275,서울지방경찰청112종합상황실,서울특별시 종로구 내자동 201-11 서울특별시경찰청,02-700-5621,2024-07-18
276,서울노인복지센터,서울특별시 종로구 경운동 90-3,02-739-9501,2024-07-18
277,cu종로배화점,서울특별시 종로구 필운동 41,,2024-07-18
278,종로노인종합복지관,서울특별시 종로구 이화동 25-1 종로노인종합복지관,02-742-9500,2024-07-18
279,동덕코튼홀,서울특별시 종로구 동숭동 1-6 동덕여대 공연예술 연구소,02-940-4578,2024-07-18
280,서울창신초등학교,서울특별시 종로구 창신동 128-32 창신초등학교,02-763-3160,2024-07-18
281,창신동쪽방상담소,서울특별시 종로구 창신동 390-5,02-3672-1264,2024-07-18
282,구기치안센터,서울특별시 종로구 구기동 120-16 구기치안센터,02-2379-4575,2024-07-18
283,(주)동아서울시네마,서울특별시 종로구 낙원동 288 낙원상가,02-745-4231,2024-07-18
284,종로청운스포렉스(서울청운초등학교수영장),서울특별시 종로구 청운동 123 청운초등학교,02-1661-0835,2024-07-18
285,서울청운초등학교,서울특별시 종로구 청운동 123 청운초등학교,02-720-3095,2024-07-18
286,환기미술관,서울특별시 종로구 부암동 210-8,02-391-7701,2024-07-18
287,세븐일레븐종로삼일점,서울특별시 종로구 관철동 11-3 동흥빌딩,02-3284-8475,2024-07-18
288,세븐일레븐종로3가역,서울특별시 종로구 돈의동 62,02-3284-8475,2024-07-18
289,서울지방우정청,서울특별시 종로구 서린동 154-1 광화문우체국,02-6967-9114,2024-07-18
290,창신1동주민센터,서울특별시 종로구 창신동 401-3 창신제1동주민센터,02-2148-5392,2024-07-18
291,세검정파출소,서울특별시 종로구 홍지동 95-1 세검정파출소,02-3701-4507,2024-07-18
292,교남동주민센터,서울특별시 종로구 행촌동 211-2 교남동주민센터,02-2148-5185,2024-07-18
293,동묘시장,서울특별시 종로구 숭인동 232-4,02-2256-6671,2024-07-18
294,탑골공원,서울특별시 종로구 종로2가 38-1 탑골공원,02-2148-4144,2024-07-18
295,동묘공원,서울특별시 종로구 숭인동 238-1 동묘공원,02-2148-4152,2024-07-18
296,사직동주민센터,서울특별시 종로구 신문로2가 1-122 사직동주민센터,02-2148-5057,2024-07-18
297,5호선 광화문역,서울특별시 종로구 세종로 1-68 5호선 광화문역,02-6311-5330,2024-07-18
298,혜화동주민센터,서울특별시 종로구 혜화동 74-30 혜화동주민센터,02-2148-5332,2024-07-18
299,서울역사박물관,서울특별시 종로구 신문로2가 2-1 서울역사박물관,02-724-0112,2024-07-18
300,현대뜨레비앙,서울특별시 종로구 익선동 55 현대뜨레비앙,02-743-0413,2024-07-18
301,종로센트레빌아파트,서울특별시 종로구 숭인동 2-1 종로센트레빌,02-3672-1213,2024-07-18
302,광장시장,서울특별시 종로구 예지동 2-1,02-2269-8855,2024-07-18
303,국립민속박물관,서울특별시 종로구 세종로 1-1 국립민속박물관,02-3700-3913,2024-07-18
304,평창동시니어센터,서울특별시 종로구 평창동 553-5,02-391-7936,2024-07-18
305,부암동주민센터,서울특별시 종로구 부암동 265-21 부암동주민센터,02-2148-5102,2024-07-18
306,조계사,서울특별시 종로구 견지동 46-1 조계사,02-768-8563,2024-07-18
307,청운파출소,서울특별시 종로구 궁정동 12-1 청운파출소,02-732-1055,2024-07-18
308,서울대학교사범대학부설여자중학교,"서울특별시 종로구 이화동 149 서울대 사범대학 부설 초등학교,여자중학교",02-762-0608,2024-07-18
309,낙원상가아파트,서울특별시 종로구 낙원동 288 낙원상가,,2024-07-18
310,종오지하쇼핑센터,서울특별시 종로구 종로5가 82-1 종오지하쇼핑센터,02-2290-6433,2024-07-18
311,무악동주민센터,서울특별시 종로구 무악동 60-2 무악동주민센터,02-2148-5153,2024-07-18
312,종로도서관,서울특별시 종로구 사직동 1-28 종로도서관,02-721-0729,2024-07-18
313,종각지하쇼핑센터,서울특별시 종로구 종로2가 1-2 종각지하쇼핑센터,02-2290-6555,2024-07-18
314,서울교동초등학교,서울특별시 종로구 경운동 2 서울교동초등학교,02-763-6659,2024-07-18
315,라이나생명보험(주),서울특별시 종로구 청진동 188 라이나타워,02-3781-2008,2024-07-18
316,대한항공씨앤디서비스,서울특별시 종로구 수송동 146-1 이마빌딩,02-2656-6777,2024-07-18
317,스페이스본휘트니스센터,서울특별시 종로구 사직동 9 광화문 스페이스본,02-733-1776,2024-07-18
318,청진파출소,서울특별시 종로구 수송동 146-2 청진파출소,02-732-1114,2024-07-18
319,신문로파출소,서울특별시 종로구 신문로1가 58-16 신문파출소,02-3701-4311,2024-07-18
320,대신고등학교,서울특별시 종로구 행촌동 171-1 대신중고등학교,02-736-0317,2024-07-18
321,서울재동초등학교,서울특별시 종로구 가회동 210 서울재동초등학교,02-783-1812,2024-07-18
322,문화재청종묘관리소,서울특별시 종로구 훈정동 1-2 종묘공원,02-765-0195,2024-07-18
323,창신2동주민센터,서울특별시 종로구 창신동 583-3 창신제2동주민센터,02-2148-5431,2024-07-18
324,가회동주민센터,서울특별시 종로구 가회동 156 가회동주민센터,02-2148-5212,2024-07-18
325,서울지방국세청조사4국효제별관,서울특별시 종로구 효제동 20-3 서울지방국세청 효제별관,02-2114-4628,2024-07-18
326,디엘이앤씨건설현장(효제동오피스현장),서울특별시 종로구 효제동 98,,2024-07-18
