순서,설치기관명,설치기관 주소,관할보건소,설치장소 주소,설치위치
461,믿음병원,"전라북도 김제시 금성로 90, 믿음병원 (신풍동)",김제시보건소,"전라북도 김제시 금성로 90, 믿음병원 (신풍동)",구급차 내
462,예림의료재단김제요양병원,"전라북도 김제시 남북로 202, 김제요양병원 (요촌동)",김제시보건소,"전라북도 김제시 남북로 202, 김제요양병원 (요촌동)",구급차 내
463,김제위드아파트,"전라북도 김제시 남북로 267 위드아파트 (서암동, 위드아파트)",김제시보건소,"전라북도 김제시 남북로 267 (서암동, 위드아파트)",위드아파트 관리사무소 입구 내
464,검산주공2단지아파트,"전라북도 김제시 도작4길 55 검산주공2단지아파트 관리사무소 (검산동, 김제검산2단지주공아파트)",김제시보건소,"전라북도 김제시 도작4길 55 (검산동, 김제검산2단지주공아파트)",관리사무소 내
465,부영2차아파트,"전라북도 김제시 도작로 139 부영2차아파트 (검산동, 2차 부영아파트)",김제시보건소,"전라북도 김제시 도작로 139 (검산동, 2차 부영아파트)",202동 초소 내
466,김제부영1차아파트,전라북도 김제시 도작로 145 (검산동),김제시보건소,전라북도 김제시 도작로 145 (검산동),관리사무소내
467,김제시민운동장체육청소년과,"전라북도 김제시 도작로 220, 김제시공설운동장 (검산동)",김제시보건소,"전라북도 김제시 도작로 220, 김제시공설운동장 (검산동)",시민운동장내
468,체육청소년과(국민체육센터),전라북도 김제시 도작로 224-121 (검산동),김제시보건소,전라북도 김제시 도작로 224-32 청소년수련관,국민체육센터
469,김제시민운동장체육청소년과,"전라북도 김제시 도작로 224-32, 청소년 수련관 (검산동)",김제시보건소,"전라북도 김제시 도작로 224-32, 청소년 수련관 (검산동)",청소년수련관 내 수영장
470,시민운동장체육청소년과,전라북도 김제시 도작로 224-98 (검산동),김제시보건소,전라북도 김제시 도작로 224-98 (검산동),실내체육관 내 현관 로비
471,김제부영3차아파트,"전라북도 김제시 도작로 33 (신풍동, 부영아파트3차)",김제시보건소,"전라북도 김제시 도작로 33 (신풍동, 부영아파트3차)",관리사무소내
472,한국농어촌공사새만금사업단,전라북도 김제시 도작로 71 (신풍동),김제시보건소,전라북도 김제시 도작로 71,새만금사업단 1층
473,지평선학당,전라북도 김제시 도작로 74 지평선 학당 (검산동),김제시보건소,전라북도 김제시 도작로 74 (검산동),지평선 학당 현관 입구
474,김제비사벌아파트,"전라북도 김제시 도작로 93 비사벌아파트 (신풍동, 비사벌아파트)",김제시보건소,"전라북도 김제시 도작로 93 (신풍동, 비사벌아파트)",통합 경비실 내
475,지평선어울림센터,전라북도 김제시 동서16길 23 지평선어울림센터,김제시보건소,전라북도 김제시 동서16길 23 (검산동),지평선어울림센터 내
476,김제시치매안심센터,전라북도 김제시 동서8길 52 (요촌동),김제시보건소,전라북도 김제시 동서8길 52 (요촌동),출입구 안쪽 좌측 벽면
477,김제농업기술센터,전라북도 김제시 동서로 59 농업기술센터 (교동),김제시보건소,"전라북도 김제시 동서로 59, 김제시농업기술센터 (교동)",농업기술센터 현관 로비
478,대동보건진료소,"전라북도 김제시 만경읍 대동1길 48, 대동보건진료소",김제시보건소,"전라북도 김제시 만경읍 대동1길 48, 대동보건진료소",진료소내
479,만경읍행정복지센터,"전라북도 김제시 만경읍 두내산로 52, 만경읍사무소",김제시보건소,전라북도 김제시 만경읍 두내산로 52 만경읍사무소,만경읍사무소
480,만경보건지소,전라북도 김제시 만경읍 만경3길 20 (만경읍),김제시보건소,전라북도 김제시 만경읍 만경3길 20,만경보건지소
481,장흥보건진료소,"전라북도 김제시 만경읍 화포로 486, 장흥보건진료소",김제시보건소,"전라북도 김제시 만경읍 화포로 486, 장흥보건진료소",진료소내
482,부용보건진료소,"전라북도 김제시 백구면 봉의로 384, 부용 보건진료소",김제시보건소,"전라북도 김제시 백구면 봉의로 384, 부용 보건진료소",진료소내
483,백구보건지소,"전라북도 김제시 백구면 황토로 1267-21, 백구면사무소",김제시보건소,"전라북도 김제시 백구면 황토로 1267-21, 백구면사무소",백구 보건지소
484,백구면행정복지센터,"전라북도 김제시 백구면 황토로 1267-21, 백구면사무소",김제시보건소,전라북도 김제시 백구면 황토로 1267-21,백구면사무소
485,부신보건진료소,"전라북도 김제시 백산면 부거1길 33, 부신 보건진료소",김제시보건소,"전라북도 김제시 백산면 부거1길 33, 부신 보건진료소",진료소내
486,조종보건진료소,"전라북도 김제시 백산면 조종3길 6, 조종보건진료소",김제시보건소,"전라북도 김제시 백산면 조종3길 6, 조종보건진료소",진료소내
487,상정보건진료소,"전라북도 김제시 백산면 종정1길 16, 상정보건진료소",김제시보건소,"전라북도 김제시 백산면 종정1길 16, 상정보건진료소",진료소내
488,백산면행정복지센터,"전라북도 김제시 백산면 학당길 18, 백산면사무소",김제시보건소,전라북도 김제시 백산면 학당길 18,백산면사무소
489,백학보건진료소,"전라북도 김제시 백학3길 71, 백학보건진료소 (순동)",김제시보건소,"전라북도 김제시 백학3길 71, 백학보건진료소 (순동)",진료소내
490,김제소방서,전라북도 김제시 벽성로 278 (교동),김제시보건소,전라북도 김제시 벽성로 278 (교동),구급차내
491,김제소방서,전라북도 김제시 벽성로 278 (교동),김제시보건소,전라북도 김제시 벽성로 278 (교동),구급차내
492,김제소방서,전라북도 김제시 벽성로 278 (교동),김제시보건소,"전라북도 김제시 금산면 금산사로 29, 금산119안전센터",구급차내
493,김제소방서,전라북도 김제시 벽성로 278 (교동),김제시보건소,전라북도 김제시 만경읍 만경공단1길 7,구급차내
494,김제소방서교동119안전센터,전라북도 김제시 벽성로 278 김제소방서 교동119센터 (교동),김제시보건소,전라북도 김제시 벽성로 278 (교동),구급차내
495,교월동행정복지센터,"전라북도 김제시 벽지산로 215, 교월동 주민센터 (옥산동)",김제시보건소,전라북도 김제시 벽지산로 215,교월동행정복지센터
496,복죽보건진료소,"전라북도 김제시 복죽5길 34-4, 복죽 보건 진료소 (복죽동)",김제시보건소,"전라북도 김제시 복죽5길 34-4, 복죽 보건 진료소 (복죽동)",진료소내
497,봉남면행정복지센터,"전라북도 김제시 봉남면 봉남로 419, 봉남면사무소",김제시보건소,전라북도 김제시 봉남면 봉남로 419,봉남면사무소
498,봉남보건지소,"전라북도 김제시 봉남면 봉남로 419, 봉남면사무소",김제시보건소,"전라북도 김제시 봉남면 봉남로 419, 봉남면사무소",봉남보건지소
499,회성보건진료소,"전라북도 김제시 봉남면 봉황로 543, 회성 보건진료소",김제시보건소,"전라북도 김제시 봉남면 봉황로 543, 회성 보건진료소",진료소내
500,부량면행정복지센터,"전라북도 김제시 부량면 벽골제로 208, 부량면사무소",김제시보건소,"전라북도 김제시 부량면 벽골제로 208, 부량면사무소",부량면사무소
501,벽골제관리사무소,전라북도 김제시 부량면 벽골제로 442,김제시보건소,전라북도 김제시 벽골제로 442 (부량면) 관리사무소내,벽골제관리사무소현관
502,벽골제아리랑사업소(관광안내소),전라북도 김제시 부량면 벽골제로 442 벽골제관리사무소,김제시보건소,전라북도 김제시 부량면 벽골제로 442,벽골제아리랑사업소 관광안내소 내
503,부량보건지소,전라북도 김제시 부량면 부량로 13,김제시보건소,전라북도 김제시 부량면 부량로 13,부량보건지소
504,신두보건진료소,"전라북도 김제시 부량면 신두길 32, 신두 보건 진료소",김제시보건소,"전라북도 김제시 부량면 신두길 32, 신두 보건 진료소",진료소내
505,김제우석병원,"전라북도 김제시 서암4길 45, 김제우석병원 (서암동)",김제시보건소,"전라북도 김제시 서암4길 45, 김제우석병원 (서암동)",구급차 내
506,성덕보건진료소,"전라북도 김제시 성덕면 고현길 23, 성덕보건진료소",김제시보건소,"전라북도 김제시 성덕면 고현길 23, 성덕보건진료소",진료소내
507,성덕보건지소,"전라북도 김제시 성덕면 석동1길 16, 성덕보건소",김제시보건소,"전라북도 김제시 성덕면 석동1길 16, 성덕보건소",성덕보건지소
508,성덕면행정복지센터,"전라북도 김제시 성덕면 석동1길 23, 성덕면사무소",김제시보건소,전라북도 김제시 성덕면 석동1길 23,성덕면사무소
509,성동보건진료소,"전라북도 김제시 성덕면 신평로 349, 성동 보건진료소",김제시보건소,"전라북도 김제시 성덕면 신평로 349, 성동 보건진료소",진료소내
510,김제시보건소,"전라북도 김제시 성산길 138, 보건소 (요촌동)",김제시보건소,"전라북도 김제시 성산길 138, 보건소 (요촌동)",김제시 보건소 구급차 내
511,김제시보건소,"전라북도 김제시 성산길 138, 보건소 (요촌동)",김제시보건소,"전라북도 김제시 성산길 138, 보건소 (요촌동)",김제시 보건소 1층로비
512,김제진우아파트,"전라북도 김제시 요촌동길 50 진우아파트 관리 사무소 (검산동, 진우아파트)",김제시보건소,"전라북도 김제시 요촌동길 50 진우아파트 관리 사무소 (검산동, 진우아파트)",진우아파트 2단지 택배보관실
513,검산주공1차아파트,전라북도 김제시 요촌북로 110 (검산동) 주공1차아파트관리사무소내,김제시보건소,"전라북도 김제시 요촌북로 110 (검산동, 주공1차아파트)",102동 1층 출입구
514,검산주공1차아파트,전라북도 김제시 요촌북로 110 (검산동) 주공1차아파트관리사무소내,김제시보건소,"전라북도 김제시 요촌북로 110 (검산동, 주공1차아파트)",검산주공1차관리사무소내
515,하동오투그란데아파트관리사무소,"전라북도 김제시 요촌중길 146 관리사무소 (하동, 하동제일오투그란데)",김제시보건소,"전라북도 김제시 요촌중길 146 (하동, 하동제일오투그란데)",관리사무소 현관
516,요촌동 행정복지센터,"전라북도 김제시 요촌중길 50, 요촌동주민센터 (요촌동)",김제시보건소,전라북도 김제시 요촌중길 50,요촌동 행정복지센터
517,양전보건진료소,"전라북도 김제시 용두1길 30, 양전보건진료소 (양전동)",김제시보건소,"전라북도 김제시 용두1길 30, 양전보건진료소 (양전동)",진료소내
518,묘동보건진료소,"전라북도 김제시 용지면 용덕길 30, 묘동보건진료소",김제시보건소,"전라북도 김제시 용지면 용덕길 30, 묘동보건진료소",진료소내
519,용지면행정복지센터,"전라북도 김제시 용지면 용지로 455, 용지면사무소",김제시보건소,전라북도 김제시 용지면 용지로 455,용지면사무소
520,용지보건지소,"전라북도 김제시 용지면 용지로 475, 용지면 보건소",김제시보건소,"전라북도 김제시 용지면 용지로 475, 용지면 보건소",용지보건지소
521,모산보건진료소,전라북도 김제시 용지면 황토로 418,김제시보건소,전라북도 김제시 용지면 황토로 418,진료소내
522,해창보건진료소,"전라북도 김제시 죽산면 명량1길 6, 해창 보건진료소",김제시보건소,"전라북도 김제시 죽산면 명량1길 6, 해창 보건진료소",진료소내
523,죽산면행정복지센터,"전라북도 김제시 죽산면 죽산3길 3, 죽산면사무소",김제시보건소,전라북도 김제시 죽산면 죽산3길 3 죽산면사무소,죽산면사무소
524,죽산보건지소,"전라북도 김제시 죽산면 해학로 35, 죽산보건지소",김제시보건소,"전라북도 김제시 죽산면 해학로 35, 죽산보건지소",죽산보건지소
525,아리랑문학마을,전라북도 김제시 죽산면 화초로 180 아리랑문학마을 홍보관,김제시보건소,전라북도 김제시 죽산면 화초로 180,아리랑문학마을홍보관 내
526,신풍동행정복지센터,"전라북도 김제시 중앙10길 11, 신풍동주민센터 (신풍동)",김제시보건소,전라북도 김제시 중앙10길 11,신풍동사무소
527,김제경찰서,전라북도 김제시 중앙로 213 (신풍동),김제시보건소,"전라북도 김제시 중앙로 213, 김제경찰서 (신풍동)",김제경찰서 현관 내
528,김제시청,"전라북도 김제시 중앙로 40, 김제시청 (서암동)",김제시보건소,전라북도 김제시 중앙로 40 김제시청 의회사무국,김제시청 의회사무국 입구
529,김제시청,"전라북도 김제시 중앙로 40, 김제시청 (서암동)",김제시보건소,전라북도 김제시 중앙로 40 김제시청,김제시청 본관
530,김제시청,"전라북도 김제시 중앙로 40, 김제시청 (서암동)",김제시보건소,"전라북도 김제시 중앙로 40, 김제시청 (서암동)",종합민원실 내
531,한국농어촌공사새만금사업단33센터,전라북도 김제시 진봉면 새만금로 1499 33센터 1층,김제시보건소,전라북도 김제시 진봉면 새만금로 1499,33센터 1층 내
532,심포보건진료소,"전라북도 김제시 진봉면 심포3길 4, 심포보건진료소",김제시보건소,"전라북도 김제시 진봉면 심포3길 4, 심포보건진료소",진료소내
533,진봉면행정복지센터,"전라북도 김제시 진봉면 진봉1길 15-3, 진봉면사무소",김제시보건소,전라북도 김제시 진봉면 진봉1길 15-3,진봉면사무소
534,진봉보건지소,"전라북도 김제시 진봉면 진봉1길 15-7, 진봉면보건지소",김제시보건소,"전라북도 김제시 진봉면 진봉1길 15-7, 진봉면보건지소",진봉보건지소
535,청하보건지소,"전라북도 김제시 청하면 만경로 1442, 청하보건지소",김제시보건소,"전라북도 김제시 청하면 만경로 1442, 청하보건지소",청하보건지소
536,관상보건진료소,"전라북도 김제시 청하면 청하6길 20, 관상보건진료소",김제시보건소,"전라북도 김제시 청하면 청하6길 20, 관상보건진료소",진료소내
537,청하면행정복지센터,"전라북도 김제시 청하면 청하로 518, 청하면사무소",김제시보건소,전라북도 김제시 청하면 청하로 518,청하면사무소
538,하동휴먼시아아파트,전라북도 김제시 하동1길 127,김제시보건소,"전라북도 김제시 하동1길 127 (하동, 김제하동주공아파트)",아파트 관리사무소 출입문 앞
539,백상의료재단가족사랑요양병원,"전라북도 김제시 하동1길 13, 가족사랑요양병원 (하동)",김제시보건소,"전라북도 김제시 하동1길 13, 가족사랑요양병원 (하동)",구급차 내
540,김제노인종합복지관,전라북도 김제시 하동1길 79 (하동),김제시보건소,전라북도 김제시 하동1길 79 (하동),노인복지관 현관 내
541,김제시청공원녹지과,전라북도 김제시 향교길 89-22 (교동),김제시보건소,전라북도 김제시 향교길 89-22 (교동),성산타워 내 1층
542,한국농어촌공사동진지사,전라북도 김제시 화동길 112 한국농어촌 공사 동진지사 (신풍동),김제시보건소,전라북도 김제시 화동길 112 (신풍동),한국농어촌공사 동진지사 현관로비
543,남산보건진료소,"전라북도 김제시 황산면 봉진1길 8, 남산 보건진료소",김제시보건소,"전라북도 김제시 황산면 봉진1길 8, 남산 보건진료소",진료소내
544,황산보건지소,전라북도 김제시 황산면 용마로 243,김제시보건소,전라북도 김제시 황산면 용마로 243,황산보건지소
545,황산면행정복지센터,"전라북도 김제시 황산면 용마로 59, 황산면사무소",김제시보건소,전라북도 김제시 황산면 용마로 59,황산면사무소
546,금동휴먼시아아파트,"전라북도 남원시 가방뜰길 57 (금동, 금동휴먼시아)",남원시보건소,"전라북도 남원시 가방뜰길 57 (금동, 금동휴먼시아)",정문 경비실
547,남원금동휴먼시아관리사무소,전라북도 남원시 가방뜰길 57 관리사무소,남원시보건소,전라북도 남원시 가방뜰길 57 관리사무소,남원 금동 휴먼시아 관리사무소
548,금동주민센터,전라북도 남원시 가방뜰길 8,남원시보건소,전라북도 남원시 가방뜰길 8,금동 주민센터
549,남원의료원,전라북도 남원시 고죽동 남원의료원,남원시보건소,전라북도 남원시 고죽동 남원의료원,응급실
550,(유)극동,전라북도 남원시 광치산업2길 12 용정동 (용정동),남원시보건소,전라북도 남원시 광치산업2길 12 용정동 (용정동),1층 사무실입구
551,남원역,전라북도 남원시 교룡로 71,남원시보건소,전라북도 남원시 교룡로 71,남원역
552,남원시노인복지관,전라북도 남원시 금동로 50 금동 (금동),남원시보건소,전라북도 남원시 금동로 50 금동 (금동),남원시노인복지관
553,금지면사무소,전라북도 남원시 금지면 금지순환길 917-27 금지면사무소,남원시보건소,전라북도 남원시 금지면 금지순환길 917-27,면사무소 민원실
554,신월보건진료소,전라북도 남원시 금지면 신월리 801-13,남원시보건소,전라북도 남원시 금지면 신월리 801-13,1층 대기실
555,금지주생통합보건지소,전라북도 남원시 금지면 옹정리 197-3,남원시보건소,전라북도 남원시 금지면 옹정리 197-3,환자대기실
556,(주)이마트남원점,전라북도 남원시 남문로 385-16 이마트 (왕정동),남원시보건소,전라북도 남원시 남문로 385-16 이마트 (왕정동),이마트 1층 고객만족센터 앞
557,주택관리공단남원노암관리소,전라북도 남원시 노송로 1255-9,남원시보건소,전라북도 남원시 노송로 1255-9,남원노암주공아파트 관리동 내부
558,남원노암주공아파트,"전라북도 남원시 노송로 1255-9 (노암동, 주공아파트)",남원시보건소,"전라북도 남원시 노송로 1255-9 (노암동, 주공아파트)",관리동 통합 경비실내
559,생암보건진료소,전라북도 남원시 대강면 생암리 252-7,남원시보건소,전라북도 남원시 대강면 생암리 252-7,민원대기실
560,대강면보건지소,"전라북도 남원시 대강면 섬진로 863, 대강면보건지소",남원시보건소,"전라북도 남원시 대강면 섬진로 863, 대강면보건지소",민원대기실
561,수홍보건진료소,"전라북도 남원시 대강면 수촌2길 6, 수홍보건진료소",남원시보건소,"전라북도 남원시 대강면 수촌2길 6, 수홍보건진료소",민원대기실
562,대곡보건진료소,전라북도 남원시 대산면 대곡리 393-5,남원시보건소,전라북도 남원시 대산면 대곡리 393-5,1층 진료실
563,대산면보건지소,"전라북도 남원시 대산면 운교1길 20, 대산면 보건지소",남원시보건소,"전라북도 남원시 대산면 운교1길 20, 대산면 보건지소",1층 민원대기실로비
564,덕과면사무소,전라북도 남원시 덕과면 덕과월평길 3,남원시보건소,전라북도 남원시 덕과면 덕과월평길 3,면사무소 내
565,덕과보건지소,전라북도 남원시 덕과면 덕과월평길 3,남원시보건소,전라북도 남원시 덕과면 덕과월평길 3,민원대기실
566,신양보건진료소,전라북도 남원시 덕과면 신양리 184-1,남원시보건소,전라북도 남원시 덕과면 신양리 184-1,1층 진료실
567,용산보건진료소,전라북도 남원시 덕과면 용산리 1033,남원시보건소,전라북도 남원시 덕과면 용산리 1033,1층 보건교육실
568,중앙하이츠아파트관리사무소,전라북도 남원시 동림로 129,남원시보건소,전라북도 남원시 동림로 129,중앙하이츠아파트관리사무소
569,사촌보건진료소,전라북도 남원시 보절면 사촌리 416,남원시보건소,전라북도 남원시 보절면 사촌리 416,진료실
570,보절보건지소,전라북도 남원시 보절면 신파리 875-1,남원시보건소,전라북도 남원시 보절면 신파리 875-1,1층민원대기실
571,진기보건진료소,전라북도 남원시 보절면 진기금다길 83 (진기보건진료소),남원시보건소,전라북도 남원시 보절면 진기금다길 83 (진기보건진료소),진료실
572,향교동주민센터,전라북도 남원시 붕맛1길 10,남원시보건소,전라북도 남원시 붕맛1길 10,향교동 주민센터
573,죽항동주민센터,전라북도 남원시 비석길 72,남원시보건소,전라북도 남원시 비석길 72,죽항동 주민센터
574,대율보건진료소,전라북도 남원시 사매면 대율리 6,남원시보건소,전라북도 남원시 사매면 대율리 6,진료실
575,서도보건진료소,전라북도 남원시 사매면 서도리 88-13,남원시보건소,전라북도 남원시 사매면 서도리 88-13,1층 대기실
576,사매면사무소,전라북도 남원시 사매면 오신1길 9-4,남원시보건소,전라북도 남원시 사매면 오신1길 9-4,면사무소 내
577,사매보건지소,전라북도 남원시 사매면 오신리 576,남원시보건소,전라북도 남원시 사매면 오신리 576,대기실1층
578,남원성일병원,전라북도 남원시 사매면 춘향로 822-129,남원시보건소,전라북도 남원시 사매면 춘향로 822-129,앰블런스(구급차 내부)
579,남원성일병원,전라북도 남원시 사매면 춘향로 822-129,남원시보건소,전라북도 남원시 사매면 춘향로 822-129,남원성일병원 3층병동
580,다사랑요양병원,전라북도 남원시 산곡길 55 산곡동 (산곡동),남원시보건소,전라북도 남원시 산곡길 55 산곡동 (산곡동),구급차내
581,다사랑요양병원,전라북도 남원시 산곡길 55 산곡동 (산곡동),남원시보건소,전라북도 남원시 산곡길 55 산곡동 (산곡동),다사랑요양병원 본관 2층
582,산내면사무소,전라북도 남원시 산내면 대정길 21 산내면사무소,남원시보건소,전라북도 남원시 산내면 대정길 21 산내면사무소(덕동마을회관),산내면사무소(덕동마을회관)
583,산내면사무소,전라북도 남원시 산내면 대정길 21 산내면사무소,남원시보건소,전라북도 남원시 산내면 대정길 21 산내면사무소(삼화마을회관),산내면사무소(삼화마을회관)
584,산내면사무소,전라북도 남원시 산내면 대정길 21 산내면사무소,남원시보건소,전라북도 남원시 산내면 대정길 21 산내면사무소(원천마을회관),산매면사무소
585,산내면사무소,전라북도 남원시 산내면 대정길 21 산내면사무소,남원시보건소,전라북도 남원시 산내면 대정길 21 (달궁마을회관 ),산내면 달궁마을회관
586,산내면사무소,전라북도 남원시 산내면 대정길 21 산내면사무소,남원시보건소,전라북도 남원시 산내면 대정길 21 산내면사무소(내령마을회관),산내면사무소(내령마을회관)
587,산내면사무소,전라북도 남원시 산내면 대정길 21 산내면사무소,남원시보건소,전라북도 남원시 산내면 대정길 21 산내면사무소,산내면사무소 민원실 1층
588,산내면보건지소,전라북도 남원시 산내면 대정리 692-4,남원시보건소,전라북도 남원시 산내면 대정리 692-4,1층 내과진료실
589,국립공원관리공단지리산국립공원북부사무소,전라북도 남원시 산내면 와운길 10,남원시보건소,전라북도 남원시 산내면 와운길 10,연하천대피소(순찰용)
590,국립공원관리공단지리산국립공원북부사무소,전라북도 남원시 산내면 와운길 10,남원시보건소,전라북도 남원시 산내면 와운길 10,지리산국립공원북부사무소(순찰용)
591,국립공원관리공단지리산국립공원북부사무소,전라북도 남원시 산내면 와운길 10,남원시보건소,전라북도 남원시 산내면 와운길 10,뱀사골분소 1층 복도
592,국립공원관리공단지리산국립공원북부사무소,전라북도 남원시 산내면 와운길 10,남원시보건소,전라북도 남원시 산내면 와운길 10,지리산북부사무소 1층 복도
593,국립공원관리공단지리산국립공원북부사무소,전라북도 남원시 산내면 와운길 10,남원시보건소,전라북도 남원시 산내면 와운길 10,지리산국립공원북부사무소( 순찰용)
594,국립공원관리공단지리산국립공원북부사무소,전라북도 남원시 산내면 와운길 10,남원시보건소,전라북도 남원시 산내면 와운길 10,달궁자동차야영장 매전 안
595,국립공원관리공단지리산국립공원북부사무소,전라북도 남원시 산내면 와운길 10,남원시보건소,전라북도 남원시 산내면 와운길 10,덕동자동차 안내소 앞
596,국립공원관리공단지리산국립공원북부사무소,전라북도 남원시 산내면 와운길 10,남원시보건소,전라북도 남원시 산내면 와운길 10,뱀사골탐방안내소 1층 복도
597,국립공원관리공단지리산국립공원북부사무소,전라북도 남원시 산내면 와운길 10,남원시보건소,전라북도 남원시 산내면 와운길 10,연하천대피소내 반야봉 토끼봉 복도
598,지리산국립공원전북사무소뱀사골분소,"전라북도 남원시 산내면 와운길 10, 지리산국립공원",남원시보건소,"전라북도 남원시 산내면 와운길 10, 지리산국립공원",대기실 1층
599,대상보건진료소,전라북도 남원시 산동면 대상리 199-1,남원시보건소,전라북도 남원시 산동면 대상리 199-1,대기실
600,부절보건진료소,전라북도 남원시 산동면 부절리 2285,남원시보건소,전라북도 남원시 산동면 부절리 2285,대기실
601,산동면사무소,전라북도 남원시 산동면 요천로 2919,남원시보건소,전라북도 남원시 산동면 요천상로 828-7 대기리,산동면 대기리 고소바위공원
602,산동면사무소,전라북도 남원시 산동면 요천로 2919,남원시보건소,전라북도 남원시 산동면 요천로 2919,면사무소 내
603,산동면보건지소,전라북도 남원시 산동면 태평리 148-5,남원시보건소,전라북도 남원시 산동면 태평리 148-5,산동면보건지소 1층 대기실 벽면
604,남원노인요양병원,"전라북도 남원시 산성길 51-15, 전북도립남원노인요양병원 (산곡동)",남원시보건소,"전라북도 남원시 산성길 51-15, 전북도립남원노인요양병원 (산곡동)",2병동 간호사실 앞
605,남원노인요양병원,"전라북도 남원시 산성길 51-15, 전북도립남원노인요양병원 (산곡동)",남원시보건소,"전라북도 남원시 산성길 51-15, 전북도립남원노인요양병원 (산곡동)",구급차 내
606,왕정동주민센터,전라북도 남원시 성황단길 7,남원시보건소,전라북도 남원시 성황단길 7,왕정동 주민센터
607,노암동주민센터,전라북도 남원시 소리길 10,남원시보건소,전라북도 남원시 소리길 10,노암동 주민센터
608,송동면보건지소,전라북도 남원시 송동면 송기길 58-1,남원시보건소,전라북도 남원시 송동면 송기길 58-1,환자대기실
609,연산보건진료소,전라북도 남원시 송동면 연산리 338,남원시보건소,전라북도 남원시 송동면 연산리 338,1층진료실
610,장국보건진료소,전라북도 남원시 송동면 장국리 607-1,남원시보건소,전라북도 남원시 송동면 장국리 607-1,1층진료실
611,남창보건진료소,전라북도 남원시 수지면 남창리 689-3,남원시보건소,전라북도 남원시 수지면 남창리 689-3,2층민원대기실
612,수지보건지소,전라북도 남원시 수지면 호곡리 976-76,남원시보건소,전라북도 남원시 수지면 호곡리 976-76,1층 민원대기실
613,대보유통(주)지리산휴게소(광주방향),"전라북도 남원시 아영면 광주대구고속도로 75, 지리산휴게소(하) 광주방면",남원시보건소,"전라북도 남원시 아영면 광주대구고속도로 75, 지리산휴게소(하) 광주방면",매장 주출입구
614,대보유통(주)지리산휴게소(대구방향),전라북도 남원시 아영면 광주대구고속도로 76,남원시보건소,전라북도 남원시 아영면 광주대구고속도로 76,매장 주 출입구
615,봉대보건진료소,전라북도 남원시 아영면 승전로 855,남원시보건소,전라북도 남원시 아영면 승전로 855,진료실
616,아영보건지소,전라북도 남원시 아영면 청계리 1-5,남원시보건소,전라북도 남원시 아영면 청계리 1-5,1층민원대기실
617,테마파크시설사업소,전라북도 남원시 어현동 158-13,남원시보건소,전라북도 남원시 어현동 158-13,테마파크관리사무실
618,남명더라우아파트,"전라북도 남원시 여수길 47 (노암동, 남명 더라우 아파트)",남원시보건소,"전라북도 남원시 여수길 47 (노암동, 남명 더라우 아파트)",관리사무소
619,남원시어린이청소년도서관,"전라북도 남원시 역재3길 12, 남원시어린이청소년도서관 (도통동)",남원시보건소,"전라북도 남원시 역재3길 12, 남원시어린이청소년도서관 (도통동)",어린이청소년도서관 1층 복도
620,도통동주민센터,전라북도 남원시 역재3길 8,남원시보건소,전라북도 남원시 역재3길 8,도통동 주민센터
621,남원5차부영아파트관리사무소,전라북도 남원시 오들1길 26 (도통동) 부영5차아파트,남원시보건소,전라북도 남원시 오들1길 26 (도통동) 부영5차아파트,남원5차부영아파트관리사무소 내
622,남원2차부영아파트관리사무소,전라북도 남원시 오들1길 97 (월락동) 부영2차아파트,남원시보건소,전라북도 남원시 오들1길 97 (월락동) 부영2차아파트,남원2차부영아파트관리사무소 내
623,남원효사랑요양병원,"전라북도 남원시 옥정4길 7, 남원효사랑요양병원 (향교동)",남원시보건소,"전라북도 남원시 옥정4길 7, 남원효사랑요양병원 (향교동)",구급차내
624,남원효사랑요양병원,"전라북도 남원시 옥정4길 7, 남원효사랑요양병원 (향교동)",남원시보건소,전라북도 남원시 옥정4길 7 향교동 (향교동),남원효사랑요양병원 본관 2층
625,전주보호관찰소남원지소,전라북도 남원시 요천로 1391 전주보호관찰소남원지소 (천거동),남원시보건소,전라북도 남원시 요천로 1391 전주보호관찰소남원지소 (천거동),전북 남원시 요천로 1391 전주보호관찰소남원지소
626,남원소방서,"전라북도 남원시 요천로 1965, 남원소방서 (식정동)",남원시보건소,"전라북도 남원시 요천로 1965, 남원소방서 (식정동)",구급차량 내부
627,남원소방서,"전라북도 남원시 요천로 1965, 남원소방서 (식정동)",남원시보건소,"전라북도 남원시 요천로 1965, 남원소방서 (식정동)",구급차량 내부
628,남원소방서,"전라북도 남원시 요천로 1965, 남원소방서 (식정동)",남원시보건소,전라북도 남원시 사매면 오신리 590-8,구급차 내
629,남원소방서,"전라북도 남원시 요천로 1965, 남원소방서 (식정동)",남원시보건소,전라북도 남원시 향교동 780,구급차 내
630,남원소방서,"전라북도 남원시 요천로 1965, 남원소방서 (식정동)",남원시보건소,전라북도 남원시 인월면 서무리 671-2,구급차 내
631,남원소방서,"전라북도 남원시 요천로 1965, 남원소방서 (식정동)",남원시보건소,전라북도 남원시 금지면 옹정리 581,구급차
632,남원소방서,"전라북도 남원시 요천로 1965, 남원소방서 (식정동)",남원시보건소,전라북도 남원시 인월면 서무리 671-2,구급차
633,남원소방서,"전라북도 남원시 요천로 1965, 남원소방서 (식정동)",남원시보건소,전라북도 남원시 식정동 448,구급차
