"본부명","지사명","표준시설코드","시설명","대피소명","소재지","전화번호","수용가능인원"
"전남","강진","4681010059","봉양","신전면사무소","전라남도 강진군 신전면 수양리","061-430-5631","93"
"전남","강진","4681010059","봉양","노해마을회관(2023)","전라남도 강진군 신전면 용월리","061-433-1391","31"
"전남","강진","4681010059","봉양","신전면사무소(2023)","전라남도 강진군 신전면 수양리","061-430-5621",""
"전남","해남.완도","4689010016","불목","완도청소년훈련원","전라남도 완도군 군외면 불목리","061-553-3844","501"
"전남","강진","4681010012","서산","강진읍사무소","전라남도 강진군 강진읍 서성리","061-430-5501",""
"전남","강진","4681010012","서산","강진군청","전라남도 강진군 강진읍 남성리","061-430-3844",""
"전남","강진","4681010012","서산","강진여자중학교","전라남도 강진군 강진읍 서성리","061-433-7803","800"
"전남","강진","4681010012","서산","강진읍사무소","전라남도 강진군 강진읍 남성리","061-430-5738",""
"전남","강진","4681010012","서산","강진군청","전라남도 강진군 강진읍 남성리","061-430-3844",""
"전남","강진","4681010012","서산","강진여자중학교(2023)","전라남도 강진군 강진읍 서성리","061-433-7803","438"
"전남","강진","4681010012","서산","강진여중","전라남도 강진군 강진읍 서성리","061-432-8490","700"
"전남","강진","4681010012","서산","강진중학교","전라남도 강진군 강진읍","061-433-3977","800"
"전남","강진","4681010012","서산","성요셉고등학교","전라남도 강진군 강진읍 평동리","061-432-9242","800"
"전남","강진","4681010012","서산","강진북초등학교","전라남도 강진군 강진읍 춘전리","061-433-2866","500"
"전남","강진","4681010012","서산","북초등학교","전라남도 강진군 강진읍 춘전리","061-432-8490","500"
"전남","강진","4681010012","서산","강진여중","전라남도 강진군 강진읍 서성리","061-433-7803","700"
"전남","강진","4681010067","월남","죽산마을회관","전라남도 강진군 작천면 삼열리","061-430-5670","24"
"전남","강진","4681010067","월남","용정마을회관","전라남도 강진군 작천면 용상리","061-430-5670","30"
"전남","강진","4681010067","월남","강진군청","전라남도 강진군 강진읍 남성리","061-430-3844",""
"전남","강진","4681010067","월남","중고마을회관","전라남도 강진군 병영면 중고리","061-430-5694","15"
"전남","강진","4681010067","월남","신기마을회관","전라남도 강진군 작천면 내기리","061-430-5670","22"
"전남","강진","4681010067","월남","상당마을회관","전라남도 강진군 작천면 삼당리","061-430-5670","22"
"전남","강진","4681010067","월남","중당마을회관","전라남도 강진군 작천면 삼당리","061-430-5670","20"
"전남","강진","4681010067","월남","기동마을회관","전라남도 강진군 작천면 평기리","061-430-5670","46"
"전남","강진","4681010067","월남","용동마을회관","전라남도 강진군 작천면 삼열리","061-430-5670","24"
"전남","강진","4681010067","월남","박산마을회관","전라남도 강진군 작천면 현산리","061-430-5670","23"
"전남","강진","4681010067","월남","상당마을회관(2023)","전라남도 강진군 작천면 삼당리","061-433-7768","22"
"전남","강진","4681010067","월남","기동마을회관(2023)","전라남도 강진군 작천면 평기리","061-434-0430","46"
"전남","강진","4681010067","월남","병영면사무소(2023)","전라남도 강진군 병영면 성남리","061-430-5681",""
"전남","강진","4681010067","월남","작천면사무소","전라남도 강진군 작천면 평리","061-430-5662","300"
"전남","강진","4681010067","월남","중당마을회관","전라남도 강진군 작천면","","100"
"전남","강진","4681010067","월남","중고마을회관","전라남도 강진군 작천면","","100"
"전남","강진","4681010067","월남","신기마을회관","전라남도 강진군 작천면","","100"
"전남","강진","4681010067","월남","죽산마을회관","전라남도 강진군 작천면","","100"
"전남","강진","4681010067","월남","현산마을회관","전라남도 강진군 작천면","","100"
"전남","강진","4681010021","화산","삼화마을회관(2023)","전라남도 강진군 군동면 화산리","061-430-5521","18"
"전남","강진","4681010021","화산","삼화마을회관","전라남도 강진군 군동면 화산리","061-430-5531","18"
"전남","강진","4681010021","화산","청람중학교","전라남도 강진군 군동면 라천리","061-430-8102","1236"
"전남","강진","4681010021","화산","강진군청","전라남도 강진군 강진읍 남성리","061-430-3844",""
"전남","강진","4681010021","화산","강진군청","전라남도 강진군 강진읍 남성리","061-430-3844",""
"전남","강진","4681010021","화산","군동초등학교","전라남도 강진군 군동면 라천리","061-433-8950","300"
"전북","군산","4513010023","대위","신당경로당","전라북도 군산시 회현면 학당리","063-466-5727","20"
"전북","군산","4513010023","대위","옥성경로당","전라북도 군산시 회현면 금광리","063-466-8222","24"
"전북","군산","4513010023","대위","회현초등학교","전라북도 군산시 회현면 대정리","063-466-5637","660"
"전북","군산","4513010023","대위","회현중학교","전라북도 군산시 회현면 대정리","063-466-5141","1096"
"전북","군산","4513010023","대위","용화초등학교","전라북도 군산시 회현면 원우리","","500"
"전북","군산","4513010006","미룡","당북초등학교","전라북도 군산시 옥산면 당북리","063-462-5906","963"
"전북","군산","4513010006","미룡","회현중학교","전라북도 군산시 회현면 대정리","063-466-5141","1096"
"전북","군산","4513010006","미룡","회현초등학교","전라북도 군산시 회현면 대정리","063-466-5637","660"
"전북","군산","4513010006","미룡","옥구초등학교","전라북도 군산시 옥구읍 선제리","063-464-8511","705"
"전북","군산","4513010006","미룡","자양중학교","전라북도 군산시 옥구읍 선제리","063-464-9370","970"
"전북","군산","4513010006","미룡","옥봉초등학교","전라북도 군산시 옥서면 옥봉리","063-471-2017","1170"
"전북","군산","4513010006","미룡","군산대학교","전라북도 군산시 미룡동","063-469-4113","50725"
"전남","강진","4681010057","석문","계산마을회관(2023)","전라남도 강진군 도암면 계라리","061-433-4462","20"
"전남","강진","4681010057","석문","강진군청","전라남도 강진군 강진읍 남성리","061-430-3844",""
"전남","강진","4681010057","석문","강진군청","전라남도 강진군 강진읍 남성리","061-430-3844",""
"전남","강진","4681010057","석문","도암면사무소(2023)","전라남도 강진군 도암면 항촌리","061-430-5602",""
"전남","강진","4681010057","석문","도암중학교","전라남도 강진군 도암면 석문리","061-432-0009","673"
"전남","강진","4681010057","석문","옥전회관","전라남도 강진군 도암면 항촌리","","36"
"전남","강진","4681010057","석문","용암회관","전라남도 강진군 도암면 신기리","","20"
"전남","강진","4681010057","석문","장촌회관","전라남도 강진군 도암면 항촌리","","26"
"전남","강진","4681010057","석문","항촌회관","전라남도 강진군 도암면 항촌리","061-432-1904","24"
"전남","강진","4681010057","석문","월하회관","전라남도 강진군 도암면 석문리","061-433-9719","20"
"전남","강진","4681010057","석문","지석회관","전라남도 강진군 도암면 지석리","061-434-1070","20"
"전남","강진","4681010057","석문","망호회관","전라남도 강진군 도암면 신기리","","21"
"전남","강진","4681010057","석문","석천회관","전라남도 강진군 도암면 석문리","","27"
"전남","강진","4681010057","석문","옥전마을회관","전라남도 강진군 도암면 항촌리","061-432-0749","36"
"전남","강진","4681010057","석문","용암마을회관","전라남도 강진군 도암면 신기리","061-432-1733","20"
"전남","강진","4681010057","석문","부흥마을회관","전라남도 강진군 도암면","061-432-0472","20"
"전남","강진","4681010057","석문","월하마을회관","전라남도 강진군 도암면 석문리","061-433-9719","20"
"전남","강진","4681010057","석문","성자마을회관","전라남도 강진군 도암면 석문리","061-433-1785","20"
"전남","강진","4681010057","석문","계산마을회관","전라남도 강진군 도암면 계라리","061-433-4462","20"
"전남","강진","4681010057","석문","용문사","전라남도 강진군 도암면 석문리","061-433-4879","10"
"전남","강진","4681010057","석문","도암북초등학교","전라남도 강진군 도암면","061-433-8865","150"
"전남","강진","4681010075","송월","강진군청","전라남도 강진군 강진읍 남성리","061-430-3844",""
"전남","강진","4681010075","송월","성전초등학교","전라남도 강진군 성전면 월평리","061-434-4353","768"
"전남","강진","4681010075","송월","강진군청","전라남도 강진군 강진읍 남성리","061-430-3844",""
"전남","강진","4681010075","송월","덕수학교","전라남도 강진군 성전면 송월리","061-432-4901","300"
"전남","해남.완도","4689010018","신학","군외면사무소","전라남도 완도군 군외면","061-550-6321","221"
"전남","강진","4681010131","영동","숙마마을회관(2023)","전라남도 강진군 마량면 원포리","061-433-2223","30"
"전남","강진","4681010131","영동","강진군청","전라남도 강진군 강진읍 남성리","061-430-3844",""
"전남","강진","4681010131","영동","강진군청","전라남도 강진군 강진읍 남성리","061-430-3844",""
"전남","강진","4681010131","영동","마량면사무소","전라남도 강진군 마량면 마량리","061-430-5581",""
"전남","강진","4681010131","영동","강진군청","전라남도 강진군 강진읍 남성리","061-430-3844",""
"전남","강진","4681010131","영동","마량면사무소","전라남도 강진군 마량면 마량리","061-430-5581","64"
"전남","강진","4681010131","영동","원포마을회관","전라남도 강진군 마량면 원포리","061-430-5581","19"
"전남","강진","4681010131","영동","마량면사무소(2023)","전라남도 강진군 마량면 마량리","061-430-5580",""
"전남","강진","4681010131","영동","마량면사무소","전라남도 강진군 마량면 마량리","061-430-5581","500"
"전남","강진","4681010131","영동","원포마을회관","전라남도 강진군 마량면 원포리","","100"
"전남","강진","4681010123","영산","영복마을회관(2023)","전라남도 강진군 옴천면 영산리","061-430-5701","18"
"전남","강진","4681010123","영산","옴천면사무소(2023)","전라남도 강진군 옴천면 개산리","061-430-5701",""
"전남","강진","4681010123","영산","옴천면사무소","전라남도 강진군 옴천면 개산리","061-430-5706",""
"전남","강진","4681010123","영산","강진군청","전라남도 강진군 강진읍 남성리","061-430-3844",""
"전남","강진","4681010123","영산","영복마을회관","전라남도 강진군 옴천면 영산리","061-430-5706","18"
"전남","강진","4681010123","영산","좌척마을회관","전라남도 강진군 옴천면 기좌리","061-430-5706","44"
"전남","강진","4681010101","작천","강진군청","전라남도 강진군 강진읍 남성리","061-430-3844",""
"전남","강진","4681010101","작천","명동마을회관","전라남도 강진군 성전면 명산리","061-430-5670","21"
"전남","강진","4681010101","작천","오산마을회관","전라남도 강진군 성전면 명산리","061-430-5670","25"
"전남","강진","4681010101","작천","작천중학교","전라남도 강진군 작천면 평리","061-432-0009","384"
"전남","강진","4681010101","작천","명동마을회관(2023)","전라남도 강진군 성전면 명산리","061-431-1491","21"
"전남","강진","4681010101","작천","작천면사무소(2023)","전라남도 강진군 작천면 평리","061-430-5661",""
"전남","강진","4681010101","작천","강진작천중학교","전라남도 강진군 작천면 평리","061-433-6850","800"
"전남","해남.완도","4689010027","청용","완도대성병원","전라남도 완도군 완도읍 가용리","061-530-7000",""
"전남","해남.완도","4689010027","청용","고금고등학교","전라남도 완도군 고금면 덕암리","061-553-1207","628"
"전남","해남.완도","4689010027","청용","고금면사무소","전라남도 완도군 고금면","061-550-6390",""
"전남","강진","4681010005","임천","강진고등학교","전라남도 강진군 강진읍 서성리","061-430-2600","1418"
"전남","강진","4681010005","임천","강진군청","전라남도 강진군 강진읍 남성리","061-430-3844",""
"전남","강진","4681010005","임천","호산마을회관","전라남도 강진군 강진읍 학명리","061-430-5721","21"
"전남","강진","4681010005","임천","덕동마을회관","전라남도 강진군 강진읍 덕남리","061-430-5721","21"
"전남","강진","4681010005","임천","신천마을회관","전라남도 강진군 강진읍 임천리","061-430-5721","29"
"전남","강진","4681010005","임천","덕동마을회관(2023)","전라남도 강진군 강진읍 덕남리","061-434-0852","21"
"전남","강진","4681010005","임천","강진고등학교","전라남도 강진군 강진읍 서성리","061-430-2600","300"
"전남","강진","4681010005","임천","강진중학교","전라남도 강진군 강진읍 평동리","061-433-3977","200"
"전남","강진","4681010005","임천","덕동마을회관","전라남도 강진군 강진읍 덕남리","061-434-0852","30"
"전남","강진","4681010005","임천","호산마을회관","전라남도 강진군 강진읍 학명리","061-433-3457","30"
"전남","강진","4681010005","임천","학림마을회관","전라남도 강진군 강진읍 임천리","061-433-8722","30"
"전남","강진","4681010056","용흥","도암중학교(2023)","전라남도 강진군 도암면 석문리","061-432-0019","106"
"전남","강진","4681010056","용흥","도암중학교","전라남도 강진군 도암면 석문리","061-432-0009","655"
"전남","강진","4681010056","용흥","강진군보건소","전라남도 강진군 강진읍 동성리","061-430-3531",""
"전남","강진","4681010056","용흥","강진소방서","전라남도 강진군 군동면 호계리","061-430-0900",""
"전남","강진","4681010056","용흥","강진군청","전라남도 강진군 강진읍 남성리","061-430-3844",""
"경남","밀양","4827010126","남산","사당동경로당","경상남도 밀양시 상남면 조음리","055-353-5549","23"
"경남","밀양","4827010126","남산","파서마을회관","경상남도 밀양시 하남읍 파서리","","42"
"경남","밀양","4827010126","남산","오산마을회관","경상남도 밀양시 상남면 외산리","055-353-1310","40"
"경남","밀양","4827010126","남산","파내마을회관","경상남도 밀양시 하남읍 파서리","","29"
"경남","밀양","4827010126","남산","상남초등학교","경상남도 밀양시 상남면 동산리","055-353-0043","247"
"경남","밀양","4827010126","남산","외산회관","경상남도 밀양시 상남면 외산리","055-351-0384","42"
"경남","밀양","4827010126","남산","조음회관","경상남도 밀양시 상남면 조음리","055-352-3437","33"
"경남","밀양","4827010126","남산","남전마을회관","경상남도 밀양시 하남읍 남전리","055-391-7320","28"
"경북","안동","4717010176","매정","토일교회","경상북도 봉화군 상운면 토일리","054-673-5944","80"
"경북","안동","4717010176","매정","임당경로당","경상북도 봉화군 상운면 신라리","054-672-4979","38"
"경북","안동","4717010176","매정","신라교회","경상북도 봉화군 상운면 신라리","054-672-1910","49"
"경북","안동","4717010176","매정","녹전초등학교","경상북도 안동시 녹전면 신평리","054-856-0508","410"
"경북","안동","4717010176","매정","녹전면사무소","경상북도 안동시 녹전면 신평리","054-856-0511","35"
"경북","안동","4717010176","매정","녹전초등학교(원천)","경상북도 안동시 녹전면 원천리","054-843-2334","246"
"경북","안동","4717010176","매정","원천교회","경상북도 안동시 녹전면 원천리","","71"
"경북","안동","4717010176","매정","녹전중학교","경상북도 안동시 녹전면 신평리","054-856-0506","100"
"경북","안동","4717010176","매정","원천2리경로당","경상북도 안동시 녹전면 원천리","054-853-5765","53"
"경북","안동","4717010176","매정","남양사","경상북도 안동시 녹전면 원천리","","45"
"경남","창녕","4874010023","노단이","영산고등학교","경상남도 창녕군 영산면 성내리","055-536-0073","500"
"경남","창녕","4874010023","노단이","영산면사무소","경상남도 창녕군 영산면 동리","055-530-6901","50"
"경남","창녕","4874010023","노단이","도천면사무소","경상남도 창녕군 도천면 도천리","055-530-6981","50"
"경남","창녕","4874010023","노단이","창녕문화운동장","경상남도 창녕군 창녕읍 교리","055-530-1969","3000"
"경남","창녕","4874010023","노단이","영산중학교","경상남도 창녕군 영산면 서리","055-536-0005","300"
"경남","창녕","4874010023","노단이","계창초등학교","경상남도 창녕군 계성면 계성리","055-521-2714","200"
"경남","창녕","4874010023","노단이","영산초등학교","경상남도 창녕군 영산면 성내리","055-536-0008","200"
"경남","창녕","4874010023","노단이","계성면사무소","경상남도 창녕군 계성면 명리","055-530-6861","50"
"경남","밀양","4827010140","와지","초동면","경상남도 밀양시 초동면 범평리","055-391-4002",""
"경북","칠곡","4785010043","지천","지천교회","경상북도 칠곡군 지천면 용산리","053-313-2803","37"
"경북","칠곡","4785010043","지천","오산리경로당 회관","경상북도 칠곡군 지천면 오산리","054-971-3384","51"
"경북","칠곡","4785010043","지천","칠곡고등학교","경상북도 칠곡군 지천면 신리","054-972-2460","2169"
"경북","칠곡","4785010043","지천","신동초등학교","경상북도 칠곡군 지천면 신리","054-972-9183","609"
"경남","밀양","4827010212","도곡","고정마을회관","경상남도 밀양시 상동면 고정리","","27"
"경남","밀양","4827010212","도곡","상동중학교","경상남도 밀양시 상동면 금산리","055-352-8468","496"
"경남","밀양","4827010212","도곡","고답마을회관","경상남도 밀양시 상동면 고정리","","42"
"경남","밀양","4827010212","도곡","유천초등학교","경상북도 청도군 청도읍 유호리","054-372-1046","200"
"경남","밀양","4827010212","도곡","고정교회","경상남도 밀양시 상동면 고정리","055-352-8800","70"
"경남","밀양","4827010212","도곡","모정마을회관","경상남도 밀양시 상동면 고정리","","28"
"경남","밀양","4827010212","도곡","상동면사무소","경상남도 밀양시 상동면 금산리","055-359-5804","82"
"경남","밀양","4827010212","도곡","고정보건소","경상남도 밀양시 상동면 고정리","055-352-8340","21"
"경남","울산","3171010194","두돌(주)","정토마을","울산광역시 울주군 두서면 활천리","052-255-8400",""
"경남","울산","3171010194","두돌(주)","울산기독병원","울산광역시 울주군 두동면 봉계리","052-263-5111","150"
"경남","울산","3171010194","두돌(주)","울산기독병원","울산광역시 울주군 두동면 봉계리","052-263-5111","150"
"경남","밀양","4827010164","마흘","밀양전자고등학교","경상남도 밀양시 무안면 신법리","055-352-7538","328"
"경남","밀양","4827010164","마흘","무안중학교","경상남도 밀양시 무안면 신법리","055-352-0064","197"
"경남","밀양","4827010164","마흘","무안면사무소","경상남도 밀양시 무안면","055-359-5810",""
"경남","밀양","4827010164","마흘","무안면사무소","경상남도 밀양시 무안면 무안리","055-359-5810","73"
"경남","함안","4617060001","봉성","양포발채경로당","경상남도 함안군 가야읍 산서리","","30"
"경남","함안","4617060001","봉성","양수장경로당","경상남도 함안군 가야읍 산서리","","30"
"경남","함안","4617060001","봉성","삼거경로당","경상남도 함안군 가야읍 산서리","","30"
"경남","함안","4617060001","봉성","이곡경로당","경상남도 함안군 가야읍 산서리","","30"
"경남","함안","4617060001","봉성","도화경로당","경상남도 함안군 가야읍 산서리","055-571-4990","30"
"경남","함안","4617060001","봉성","구일마을회관","경상남도 함안군 산인면 부봉리","055-571-2288","30"
"경남","함안","4617060001","봉성","가야초등학교","경상남도 함안군 가야읍 도항리","055-583-2395","960"
"경남","함안","4617060001","봉성","금천마을복지회관","경상남도 함안군 함안면 대산리","","30"
"경남","함안","4617060001","봉성","괴항노인회관","경상남도 함안군 함안면 괴산리","055-572-2334","30"
"경남","함안","4617060001","봉성","득성동경로당","경상남도 함안군 함안면 괴산리","055-582-0950","30"
"경남","함안","4617060001","봉성","함안초등학교","경상남도 함안군 함안면 북촌리","055-583-4019","180"
"경남","함안","4617060001","봉성","중산회관","경상남도 함안군 함안면 강명리","055-582-0570","30"
"경남","함안","4617060001","봉성","여항면사무소","경상남도 함안군 여항면 외암리","055-580-3951","30"
"경남","함안","4617060001","봉성","내곡회관","경상남도 함안군 여항면 내곡리","055-582-2358","50"
"경남","함안","4617060001","봉성","양촌마을회관","경상남도 함안군 여항면 외암리","055-582-2517","40"
"경남","함안","4617060001","봉성","음촌회관","경상남도 함안군 여항면 외암리","055-582-0803","30"
"경남","함안","4617060001","봉성","외암초등학교","경상남도 함안군 여항면 외암리","055-582-2527","198"
"경남","함안","4617060001","봉성","문암초등학교","경상남도 함안군 산인면 모곡리","055-583-3758","100"
"경남","함안","4617060001","봉성","유원초등학교","경상남도 함안군 칠원면 유원리","055-587-0216","162"
"경남","함안","4617060001","봉성","예곡초등학교","경상남도 함안군 칠원면 예곡리","055-587-0423","81"
"경남","함안","4617060001","봉성","칠원초등학교","경상남도 함안군 칠원면 구성리","055-587-0006","93"
"경남","함안","4617060001","봉성","덕촌회관","경상남도 함안군 칠북면 덕남리","","20"
"경남","함안","4617060001","봉성","남양경로회관","경상남도 함안군 칠북면 덕남리","055-587-3647","40"
"경남","함안","4617060001","봉성","남양회관","경상남도 함안군 칠북면 덕남리","","30"
"경남","함안","4617060001","봉성","성호회관","경상남도 함안군 칠북면 화천리","","20"
"경남","함안","4617060001","봉성","초등이령분교","경상남도 함안군 칠북면 이령리","055-587-3536","100"
"경남","함안","4617060001","봉성","칠북초등학교","경상남도 함안군 칠북면 검단리","055-587-3541","200"
"경남","함안","4617060001","봉성","구포회관","경상남도 함안군 칠서면 구포리","","68"
"경남","함안","4617060001","봉성","연산회관","경상남도 함안군 대산면 장암리","","55"
"경남","함안","4617060001","봉성","신대회관","경상남도 함안군 대산면 하기리","","55"
"경남","함안","4617060001","봉성","수곡동회관 ","경상남도 함안군 군북면 수곡리","055-583-9268","50"
"경남","함안","4617060001","봉성","법수중학교","경상남도 함안군 법수면 윤외리","055-582-3318","1000"
"경남","함안","4617060001","봉성","법수초등학교","경상남도 함안군 법수면 윤외리","055-583-3354","500"
"경남","함안","4617060001","봉성","산인초등학교","경상남도 함안군 산인면 내인리","055-584-2298","180"
"경남","밀양","4827010041","가산","가산리마을회관","경상남도 밀양시 부북면 가산리","055-355-4064","38"
"경남","밀양","4827010041","가산","KT밀양지사","경상남도 밀양시 내이동","055-353-7099",""
"경남","밀양","4827010041","가산","제5870부대 2대대","경상남도 밀양시","055-353-1113",""
"경남","밀양","4827010041","가산","경상남도청","경상남도 창원시 의창구 사림동","055-211-6742",""
"경남","밀양","4827010041","가산","가산마을회관","경상남도 밀양시 부북면 가산리","055-355-5489","38"
"경남","밀양","4827010041","가산","밀양여자고등학교","경상남도 밀양시 내이동","055-354-2106","431"
"경남","밀양","4827010041","가산","밀성중학교","경상남도 밀양시 내이동","055-355-3068","525"
"경남","밀양","4827010041","가산","현대경로당","경상남도 밀양시 내이동","","118"
"경남","밀양","4827010041","가산","오례회관","경상남도 밀양시 부북면 오례리","055-353-4718","29"
"경남","밀양","4827010041","가산","부북초등학교","경상남도 밀양시 부북면 운전리","055-354-9005","389"
"경남","밀양","4827010041","가산","용포회관","경상남도 밀양시 부북면 용지리","","31"
"경남","밀양","4827010041","가산","춘기회관","경상남도 밀양시 부북면 춘화리","055-356-4574","30"
"경남","밀양","4827010041","가산","무연회관","경상남도 밀양시 부북면 무연리","055-355-8645","28"
"경남","밀양","4827010041","가산","청운리마을회관","경상남도 밀양시 부북면 청운리","055-354-1012","37"
"경남","밀양","4827010115","국전","노곡경로당","경상남도 밀양시 단장면 무릉리","055-356-2081","35"
"경남","밀양","4827010115","국전","무릉경로당","경상남도 밀양시 단장면 무릉리","","35"
"경남","밀양","4827010115","국전","국서경로당","경상남도 밀양시 단장면 국전리","055-356-1061","37"
"경남","밀양","4827010115","국전","지시동경로당","경상남도 밀양시 단장면 무릉리","","21"
"경남","밀양","4827010115","국전","국동경로당","경상남도 밀양시 단장면 국전리","055-356-0130","30"
"경남","밀양","4827010115","국전","단장면사무소","경상남도 밀양시 단장면 태룡리","055-359-6701",""
"경남","밀양","4827010115","국전","경상남도청","경상남도 창원시 의창구 사림동","055-211-2811",""
"경남","밀양","4827010115","국전","밀양시청","경상남도 밀양시 교동","055-359-5519",""
"전남","고흥","4677090005","죽암","고흥군청","전라남도 고흥군","061-830-5848",""
"전남","고흥","4677090005","죽암","죽동마을회관","전라남도 고흥군 동강면 죽암리","061-834-9417","20"
"전남","고흥","4677090005","죽암","옹암마을회관","전라남도 고흥군 동강면 죽암리","061-835-1756","20"
"전남","고흥","4677090005","죽암","관덕마을회관","전라남도 고흥군 동강면 장덕리","061-833-9302","30"
"전남","고흥","4677090005","죽암","중촌마을회관","전라남도 고흥군 동강면 유둔리","061-834-9925","20"
"전남","고흥","4677090005","죽암","동강초등학교","전라남도 고흥군 동강면 유둔리","061-833-2061","160"
"전남","고흥","4677090005","죽암","동강중학교","전라남도 고흥군 동강면 유둔리","061-833-2038","200"
"전남","고흥","4677090005","죽암","내대마을회관","전라남도 고흥군 동강면 오월리","061-833-5208","20"
"전남","고흥","4677090005","죽암","신정마을회관","전라남도 고흥군 동강면 매곡리","061-833-0014","20"
"전남","고흥","4677090005","죽암","화담마을회관","전라남도 고흥군 남양면 침교리","061-834-4345","20"
"전남","고흥","4677090005","죽암","망동마을회관","전라남도 고흥군 남양면 망주리","061-834-4831","20"
"전남","고흥","4677090005","죽암","와야마을회관","전라남도 고흥군 남양면 망주리","061-832-3488","30"
"전남","고흥","4677090005","죽암","망주초등학교","전라남도 고흥군 남양면 망주리","061-835-3578","150"
"경남","밀양","4827010112","감물","사촌마을회관","경상남도 밀양시 단장면 미촌리","","50"
"경남","밀양","4827010112","감물","구미광암경로당","경상남도 밀양시 단장면 미촌리","055-353-5446","18"
"경남","밀양","4827010112","감물","안포마을회관","경상남도 밀양시 단장면 안법리","055-356-0887","25"
"경남","밀양","4827010112","감물","산외면사무소","경상남도 밀양시 산외면 다죽리","055-359-5805","200"
"경남","밀양","4827010112","감물","단장면사무소","경상남도 밀양시 단장면 태룡리","055-359-5807","200"
"경남","밀양","4827010112","감물","태룡초등학교","경상남도 밀양시 단장면 태룡리","055-356-6236","300"
"경남","밀양","4827010112","감물","밀양시청","경상남도 밀양시 교동","055-359-5540",""
"경남","밀양","4827010112","감물","구미마을회관","경상남도 밀양시 단장면 미촌리","","50"
"경남","밀양","4827010112","감물","사지마을회관","경상남도 밀양시 단장면 법흥리","","50"
"경남","밀양","4827010112","감물","법흥회관","경상남도 밀양시 단장면 법흥리","","22"
"경남","밀양","4827010112","감물","단산초등학교","경상남도 밀양시 산외면 금곡리","055-353-2800","200"
"경남","밀양","4827010134","초동","검산마을회관","경상남도 밀양시 초동면 검암리","","26"
"경남","밀양","4827010134","초동","대곡마을회관","경상남도 밀양시 초동면 대곡리","","29"
"경남","밀양","4827010134","초동","초동면","경상남도 밀양시 초동면 범평리","055-391-4002",""
"경남","밀양","4827010134","초동","초동중학교(구)","경상남도 밀양시 초동면 신호리","","0"
"경남","밀양","4827010134","초동","초동초등학교","경상남도 밀양시 초동면 신호리","055-391-4020","290"
"경남","울산","3171010157","두산","범서읍행정복지센터","울산광역시 울주군 범서읍","052-211-5000",""
"경남","울산","3171010157","두산","척과초등학교","울산광역시 울주군 범서읍 척과리","052-211-9002","447"
"경남","울산","3171010157","두산","척과초등학교","울산광역시 울주군 범서읍 척과리","052-211-9002","300"
"경남","울산","3171010157","두산","큰말회관","경상북도 경주시 외동읍 녹동리","","35"
"경남","울산","3171010157","두산","녹동리 노인정","경상북도 경주시 외동읍 녹동리","","30"
"전남","순천.광양.여수","4623010036","차사","진월중학교","전라남도 광양시","061-772-0592",""
"전남","순천.광양.여수","4623010036","차사","진월중학교","전라남도 광양시 진월면 선소리","","429"
"전남","순천.광양.여수","4623010036","차사","진월중학교","전라남도 광양시 진월면","061-772-2101",""
"전남","순천.광양.여수","4623010036","차사","진월중학교","전라남도 광양시 진월면 선소리","061-772-2101",""
"전남","순천.광양.여수","4623010036","차사","광양시청","전라남도 광양시 중동","061-791-5009",""
"전남","순천.광양.여수","4623010036","차사","진월중학교","전라남도 광양시 진월면 선소리","061-772-2101","150"
"경남","울산","3171010121","고련","웅촌초등학교","울산광역시 울주군 웅촌면 곡천리","052-225-0006","300"
"경남","울산","3171010218","복안","두서면 행정복지센터","울산광역시 울주군 두서면","052-262-6400",""
"경남","울산","3171010218","복안","두서면사무소","울산광역시 울주군 두서면 미호리","052-262-6400","200"
"경남","울산","3171010218","복안","두광중학교","울산광역시 울주군 두서면 인보리","052-264-6012","300"
"경북","칠곡","4785010162","작곡","북삼고등학교","경상북도 칠곡군 북삼읍 인평리","054-970-0003","600"
"경남","밀양","4827010097","가인(봉의)","산내초등학교","경상남도 밀양시 산내면 송백리","055-352-6025","228"
"경남","밀양","4827010097","가인(봉의)","미라복지회관","경상남도 밀양시 산내면 송백리","055-352-3094","30"
"경남","밀양","4827010097","가인(봉의)","산내면사무소","경상남도 밀양시 산내면 송백리","055-359-5086","61"
"경남","밀양","4827010097","가인(봉의)","저전마을회관","경상남도 밀양시 산내면 용전리","055-352-9519","24"
"경남","밀양","4827010097","가인(봉의)","임고정복지회관","경상남도 밀양시 산내면 봉의리","055-351-1297","29"
"경남","밀양","4827010097","가인(봉의)","가라복지회관","경상남도 밀양시 산내면 봉의리","055-353-9976","30"
"경남","밀양","4827010097","가인(봉의)","양송정복지회관","경상남도 밀양시 산내면 송백리","055-352-1617","40"
"경남","밀양","4827010097","가인(봉의)","산내초등학교","경상남도 밀양시 산내면 송백리","","228"
"경남","밀양","4827010097","가인(봉의)","밀양시청","경상남도 밀양시 교동","055-359-5540",""
"경남","밀양","4827010097","가인(봉의)","밀양전통예술촌(구)가인초교","경상남도 밀양시 산내면 가인리","","0"
"전남","영광","4687010176","오동","염산중학교","전라남도 영광군 염산면 봉남리","061-352-9018","826"
"전남","영광","4687010176","오동","염산중학교","전라남도 영광군 염산면 봉남리","061-352-9018","583"
"전남","영광","4687010176","오동","염산초등학교","전라남도 영광군 염산면 봉남리","061-352-9046","150"
"전남","해남.완도","4682010057","송산","시목마을회관","전라남도 해남군 화산면 송산리","061-530-5827",""
