지진옥외대피소명,유형 구분,소재지도로명주소,소재지지번주소,위도,경도,수용가능면적,최대수용인원수,운영상태,전화번호,부대편의시설,주민대피지구명,주민대피지구내가구수,주민대피지구내거주인수,주민대피지구내재해약자수,내진적용여부,내진설계등급,해안선이격거리,해발높이,지진대피안내표지판수,긴급대피장소안내표지판수,지진대피로안내표지판수,관리기관명,관리기관전화번호,데이터기준일자
감성초등학교 운동장,학교운동장,세종특별자치시 세종시 금남면 감성길 6,,36.4433015,127.2888022,5360,6496,Y,044-866-8892,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
금남초등학교 운동장,학교운동장,세종특별자치시 세종시 금남면 금남구즉로 62,,36.47248276,127.287135,4358,5282,Y,044-866-9715,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
장기초등학교 운동장,학교운동장,세종특별자치시 세종시 장군면 장척로 398-9,,36.49648256,127.2068362,6325,7666,Y,044-858-4066,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
장기중학교 운동장,학교운동장,세종특별자치시 세종시 장군면 장척로 359,,36.49442303,127.201134,6084,7374,Y,044-998-3147,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
의랑초등학교 운동장,학교운동장,세종특별자치시 세종시 장군면 태산길 50-1,,36.55007029,127.1908831,5614,6804,Y,044-852-6872,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
세종도원초등학교 운동장,학교운동장,세종특별자치시 세종시 연서면 도원로 63,,36.58543296,127.2868842,4207,5099,Y,044-868-7213,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
쌍류초등학교 운동장,학교운동장,세종특별자치시 세종시 연서면 벌말길 73,,36.59893136,127.2102267,3992,4838,Y,044-863-1929,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
연서중학교 운동장,학교운동장,세종특별자치시 세종시 연서면 연서로 115,,36.58046867,127.2576711,6030,7309,Y,044-867-0082,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
연서초등학교 운동장,학교운동장,세종특별자치시 세종시 연서면 연서로 148,,36.58247498,127.2540769,4793,5809,Y,044-867-7032,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
연봉초등학교 운동장,학교운동장,세종특별자치시 세종시 연서면 당산로 357-1,,36.56386102,127.2823231,4668,5658,Y,044-867-7024,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
전의중학교 운동장,학교운동장,세종특별자치시 세종시 전의면 운주산로 1260-4,,36.68111121,127.197234,4363,5288,Y,044-863-3201,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
전의초등학교 운동장,학교운동장,세종특별자치시 세종시 전의면 운주산로 1204-9,,36.68035962,127.2029573,4507,5463,Y,044-863-1450,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
전동초등학교 운동장,학교운동장,세종특별자치시 세종시 전동면 하노장3길 9,,36.65612305,127.2656464,4931,5976,Y,044-863-1209,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
소정초등학교 운동장,학교운동장,세종특별자치시 세종시 소정면 학교말길 10,,36.7207886,127.1590629,4120,4993,Y,044-566-6064,,별도 지구지정사항 없음,,,0,적용,0,0,0,1,0,0,세종특별자치시 자연재난과,044-300-3224,2024-08-07
