대피소명,소재지,전화번호,수용가능인원
한국전력공사 상주지사,경상북도 상주시 무양동,054-530-2238,
대구KBS,대구광역시 수성구 범어동,053-757-7442,
상주경찰서,경상북도 상주시 성하동,054-537-0257,
경북도청,경상북도 안동시 풍천면 갈전리,054-880-2313,
중모고등학교강당,경상북도 상주시 모동면 덕곡리,054-533-4080,281
중모고등학교,경상북도 상주시 모동면 덕곡리,054-533-4080,527
모동초등학교,경상북도 상주시 모동면 금천리,054-533-4086,422
중모종합고교,경상북도 상주시 모동면 덕곡리,054-533-4080,250
모동면사무소,경상북도 상주시 모동면 용호리,054-537-8909,50
모동초교,경상북도 상주시 모동면 금천리,054-533-4086,150
상주적십자병원,경상북도 상주시 남성동,054-534-3501,
모동면사무소,경상북도 상주시 모동면 용호리,054-537-8909,
모서초등학교,경상북도 상주시 모서면 삼포리,054-533-2185,620
모서중학교,경상북도 상주시 모서면 삼포리,054-533-2130,296
이소2리마을회관,경상북도 상주시 화동면 이소리,,40
상주시청,경상북도 상주시 남성동,080-532-2797,
신촌2리마을회관,경상북도 상주시 화동면 신촌리,054-534-8530,20
신촌1리마을회관,경상북도 상주시 화동면 신촌리,054-534-7975,30
낙서리마을회관,경상북도 상주시 내서면 낙서리,054-531-0212,30
평지1리마을회관,경상북도 상주시 내서면 평지리,054-533-4723,20
노류1리 안골노인정,경상북도 상주시 내서면 노류리,054-533-4867,30
대포2리마을회관,경상북도 상주시 모서면 대포리,054-533-2645,20
대포1리마을회관,경상북도 상주시 모서면 대포리,054-533-2479,20
중모고등학교,경상북도 상주시 모동면 덕곡리,054-533-4080,808
화동면사무소,경상북도 상주시 화동면 이소리,054-537-8911,
상주시청,경상북도 상주시 남성동,080-532-2797,
전라남도,전라남도 무안군 삼향읍 남악리,061-286-4960,
장성군청,전라남도 장성군 장성읍,061-390-7019,
월연1리마을회관,전라남도 장성군 삼계면 월연리,061-394-4602,30
사창3리마을회관,전라남도 장성군 삼계면 사창리,061-394-0668,30
내계2리마을회관,전라남도 장성군 삼계면 내계리,061-393-0103,0
사창초등학교,전라남도 장성군 삼계면 사창리,061-394-1712,870
화순군청,전라남도 화순군 화순읍 훈리,061-379-3801,
동복중학교,전라남도 화순군 동복면 독상리,061-372-2383,565
동복초등학교,전라남도 화순군 동복면 칠정리,061-372-2010,796
전라남도,전라남도 무안군 삼향읍 남악리,061-286-4960,
장성군청,전라남도 장성군 장성읍,061-390-7019,
프란치스코의집,전라남도 장성군 진원면,061-390-9600,120
진원보건소,전라남도 장성군 진원면,061-390-5079,50
진원보건소,전라남도 장성군 진원면,061-392-5079,
진원면사무소,전라남도 장성군 진원면,061-390-7602,100
문경여자고등학교,경상북도 문경시 점촌동,054-553-2565,2172
우석여자고등학교,경상북도 상주시 계산동,054-532-3681,3373
상주고등학교,경상북도 상주시 신봉동,054-534-3701,2002
상주중학교,경상북도 상주시 만산동,054-533-1083,1825
문경실내체육관,경상북도 문경시 모전동,054-550-6436,3643
함창중앙초등학교,경상북도 상주시 함창읍 구향리,054-541-6228,425
함창초등학교,경상북도 상주시 함창읍 구향리,054-541-0912,759
상지여자고등학교,경상북도 상주시 함창읍,054-541-3081,2336
상주실내체육관,경상북도 상주시 만산동,054-537-7690,3680
상산전자,경상북도 상주시 계산동,054-532-1515,2185
상주남산중학교,경상북도 상주시 낙양동,054-532-3412,1429
상주공업고등학교,경상북도 상주시 낙양동,054-532-3416,1648
상주중학교,경상북도 상주시 만산동,054-533-1083,1825
문경여자중학교,경상북도 문경시 점촌동,054-555-3048,1940
함창고등학교,경상북도 상주시 함창읍,054-541-2295,2365
상주동부초등학교,경상북도 상주시 헌신동,054-532-3483,337
상주남부초등학교,경상북도 상주시 지천동,054-533-7407,629
경북대학교(상주캠퍼스),경상북도 상주시 가장동,054-532-6000,3394
성신여자중학교,경상북도 상주시 계산동,054-532-3680,1393
상주시청,경상북도 상주시 남성동,054-533-2001,
상산전자고등학교,경상북도 상주시 계산동,054-532-1515,550
성신여자중학교,경상북도 상주시 만산동,054-532-3680,610
우석여자고등학교,경상북도 상주시 만산동,054-532-3681,700
상주남산중학교,경상북도 상주시 낙양동,054-532-3412,640
상주중학교,경상북도 상주시 만산동,054-533-1083,500
상주공업고등학교,경상북도 상주시 개운동,054-532-3416,720
상주고등학교,경상북도 상주시 신봉동,054-534-3701,664
장성군청,전라남도 장성군 장성읍,061-390-7019,
전라남도,전라남도 무안군 삼향읍 남악리,061-286-4960,
전라남도,전라남도 무안군 삼향읍,061-286-3292,
소도마을회관,전라남도 장성군 삼서면 소룡리,061-393-7771,30
장성군,전라남도 장성군 장성읍,061-390-7119,
삼서 서부보건진료소,전라남도 장성군 삼서면 소룡리,061-394-2375,30
계림보건지소,전라남도 함평군 월야면 계림리,061-323-1854,30
삼서 보건지소,전라남도 장성군 삼서면 대곡리,061-394-2071,40
장성병원,전라남도 장성군 장성읍 영천리,061-390-9000,167
삼서중학교,전라남도 장성군 삼서면 대곡리,061-394-2020,70
삼서초등학교,전라남도 장성군 삼서면 대곡리,061-394-2023,120
순천시청,전라남도 순천시 장천동,061-749-6714,
순천시청,전라남도 순천시 장천동,061-749-6714,
순천시청,전라남도 순천시 장천동,061-749-6714,
순천시청,전라남도 순천시 장천동,061-749-6714,
제7391부대,전라남도 순천시 별량면 운천리,061-746-7310,
순천소방서,전라남도 순천시 서면 선평리,061-750-0831,
순천경찰서,전라남도 순천시 가곡동,061-759-0761,
순천시청,전라남도 순천시 장천동,061-749-6714,
순천시청,전라남도 순천시 장천동,061-749-6714,
순천시청,전라남도 순천시 장천동,061-749-6714,
순천시청,전라남도 순천시 장천동,061-749-6714,
금동경로당,전라남도 순천시 별량면 금치리,,27
순청 시청,전라남도 순천시 장천동,061-743-4599,
동복중학교,전라남도 화순군 동복면 독상리,061-372-2383,600
화순군청,전라남도 화순군 화순읍 훈리,061-379-3801,
동복초등학교,전라남도 화순군 동복면 칠정리,061-372-2012,600
사평중학교,전라남도 화순군 남면 벽송리,061-372-6084,600
사평초등학교,전라남도 화순군 남면 사평리,061-373-9226,600
동복중학교,전라남도 화순군 동복면 독상리,061-372-2383,600
동복초등학교,전라남도 화순군 동복면 칠정리,061-372-2012,600
사평중학교,전라남도 화순군 남면 벽송리,061-372-6083,600
사평초등학교,전라남도 화순군 남면 사평리,061-373-9226,600
은척초등학교,경상북도 상주시 은척면 봉중리,054-541-3405,297
남곡2리마을회관,경상북도 상주시 은척면 남곡리,054-541-4455,30
성주봉자연휴양림,경상북도 상주시 은척면 남곡리,054-541-6512,780
은척119지역대,경상북도 상주시 은척면 봉중리,054-541-9119,
은척면사무소,경상북도 상주시 은척면 봉중리,054-537-8915,
은척면사무소,경상북도 상주시 은척면 봉중리,054-537-8915,150
성주봉자연휴양림,경상북도 상주시 은척면 남곡리,054-541-6512,1000
남곡2리마을회관,경상북도 상주시 은척면 남곡리,054-541-4455,50
은척면사무소,경상북도 상주시 은척면 봉중리,054-537-8915,150
신대리마을회관,경상북도 영천시 북안면 신대리,,30
경상북도청,경상북도 안동시 풍천면 갈전리,054-880-3119,
금호읍사무소,경상북도 영천시 금호읍 교대리,054-339-7025,
금호읍사무소,경상북도 영천시 금호읍 교대리,054-339-7025,
대구기상대,대구광역시 동구 효목동,053-282-0199,
영천소방서,경상북도 영천시 조교동,054-339-6800,
창상초등학교,경상북도 영천시 금호읍 삼호리,054-335-8901,350
오계리마을회관,경상북도 영천시 금호읍 오계리,054-334-0295,150
삼호1리회관,경상북도 영천시 금호읍 삼호리,,39
최무선과학관,경상북도 영천시 금호읍 대미리,054-331-7096,421
오계1리 경로당,경상북도 영천시 금호읍 오계리,054-334-0995,28
오계리 마을회관,경상북도 영천시 금호읍 오계리,054-334-0295,30
대창초등학교,경상북도 영천시 대창면 대창리,054-335-4069,500
용계리경로당,경상북도 영천시 북안면 용계리,054-337-9075,36
신대리경로당,경상북도 영천시 북안면 신대리,054-337-0206,36
경북영광학교,경상북도 영천시 북안면,054-331-6501,193
도천2리경로당,경상북도 영천시 북안면 도천리,054-332-9767,39
북안복지회관,경상북도 영천시 북안면 임포리,054-339-7900,298
북안초등체육관,경상북도 영천시 북안면 고지리,054-333-6883,517
영안중학교,경상북도 영천시 북안면 임포리,054-332-6116,559
북안면사무소,경상북도 영천시 북안면 고지리,054-7339-7913,
북안면사무소,경상북도 영천시 북안면 고지리,054-339-7913,
합천경찰서,경상남도 합천군 쌍백면 평구리,055-932-5020,
무술초등학교,충청남도 부여군 외산면 비암리,041-836-0811,388
외산면사무소,충청남도 부여군 외산면 만수리,041-830-6448,
논산국토관리사무소,충청남도 논산시 내동,041-730-5864,
대전지방국토관리청,충청남도 논산시,042-670-3428,
대전 KBS,충청남도 논산시,042-470-7400,
부여경찰서,충청남도 논산시,041-830-9258,
외산초등학교,충청남도 논산시,041-836-5290,250
외산보건진료소,충청남도 부여군 외산면 전장리,041-836-0811,50
외산중학교,충청남도 부여군 외산면 만수리,041-836-5285,350
외산초등학교,충청남도 부여군 외산면 장항리,041-836-5290,
외산면사무소,충청남도 부여군 외산면 만수리,041-830-6448,150
논산국토관리사무소,충청남도 논산시,041-730-5864,
외산면사무소,충청남도 논산시,041-830-6448,
외산초등학교,충청남도 부여군 외산면 장항리,041-836-5290,250
부여군보건소,충청남도 논산시,041-830-8600,
외산초등학교,충청남도 논산시,041-836-5292,
외산장항노인복지센터,충청남도 부여군 외산면 만수리,041-836-4717,33
장항교회,충청남도 부여군 외산면 만수리,041-836-4717,121
충남지역 재난안전대책본부,충청남도 홍성군 홍북면,041-635-4000,
외산보건진료소,충청남도 부여군 외산면 전장리,041-836-0811,50
외산중학교,충청남도 부여군 외산면 만수리,041-836-5285,648
외산초등학교,충청남도 부여군 외산면 장항리,041-836-5290,498
외산면사무소,충청남도 부여군 외산면 만수리,041-830-2574,363
평창고등학교,강원특별자치도 평창군 평창읍 중리,033-332-2832,429
평창중학교,강원특별자치도 평창군 평창읍 중리,033-339-7900,266
평창중학교,강원특별자치도 평창군 평창읍 중리,,266
속초시,강원특별자치도 속초시  ,033-680-2758,
속초시 청소년수련원,강원특별자치도 속초시 노학동 ,033-635-0339,300
설악한화리조트,강원특별자치도 속초시 노학동 ,033-630-5500,0
청리초등학교강당,경상북도 상주시 사벌면 덕담리,054-532-6041,199
청리초등학교,경상북도 상주시 청리면 청하리,054-532-6041,513
상주시청,경상북도 상주시 남성동,054-532-7234,
청리중학교,경상북도 상주시 청리면 청하리,054-532-6090,1200
화동중학교,경상북도 상주시 화동면 이소리,054-533-9718,334
선교리마을회관,경상북도 상주시 화동면 선교리,,30
화동중학교,경상북도 상주시 화동면 이소리,054-533-9718,154
선교1리마을회관,경상북도 상주시 화동면 선교리,,147
화동초등학교,경상북도 상주시 화동면 이소리,054-533-9720,1500
장수군청,전라북도 장수군 장수읍,063-350-2723,
장수초등학교,전라북도 장수군 장수읍 장수리,063-651-1901,228
장수고등학교,전라북도 장수군 장수읍 선창리,063-350-5123,
장수교회,전라북도 장수군 장수읍 장수리,063-351-9292,
장수초등학교,전라북도 장수군 장수읍 선창리,,228
산서초등학교,전라북도 장수군 번암면 동화리,063-351-4588,90
무진장소방서,전라북도 장수군 장수읍,063-350-6211,
번암초등학교,전라북도 장수군 번암면 노단리,063-353-5546,180
번암중학교,전라북도 장수군 번암면 노단리,063-353-5132,90
사암마을회관,전라북도 장수군 번암면 사암리,063-352-3611,30
산서초등학교,전라북도 장수군 산서면 동화리,063-351-4139,90
하북마을회관,전라북도 장수군 번암면 국포리,063-352-3059,30
국포교회,전라북도 장수군 번암면 국포리,063-353-3332,50
장수고등학교,전라북도 장수군 장수읍 선창리,063-351-5645,270
장수교회,전라북도 장수군 장수읍 장수리,063-351-9191,50
산서제일교회,전라북도 장수군 산서면 동화리,063-351-3672,50
대정방회관,전라북도 장수군 번암면 죽산리,063-353-2402,25
국포교회,전라북도 장수군 번암면 교동리,063-353-3332,100
금천마을회관,전라북도 장수군 번암면 교동리,063-353-2249,30
도장마을회관,전라북도 장수군 번암면 국포리,063-352-2805,25
장수경찰서,전라북도 장수군 장수읍,063-350-4281,
대구기상대,대구광역시 동구,053-282-0199,
금호보건지소,경상북도 영천시 금호읍 교대리,054-339-8300,
영천보건소,경상북도 영천시 문내동,054-339-7860,
한국도로공사 영천지사,경상북도 영천시 화남면 신호리,054-714-6500,
MBC,경상북도 영천시 화남면 신호리,054-714-6500,
MBC대구방송국,대구광역시 수성구 범어동,053-740-9500,
영천신문,경상북도 영천시 문외동,054-332-2400,
영천경찰서,경상북도 영천시 금호읍 원제리,054-339-1329,
금호체육관,경상북도 영천시 금호읍 교대리,054-339-7494,643
포은고등학교,경상북도 영천시 금호읍 대미리,054-338-6563,315
금호중고등학교,경상북도 영천시 금호읍 교대리,054-333-3611,792
금호초등학교,경상북도 영천시 금호읍 교대리,054-339-7023,1246
금호여자중고등학교,경상북도 영천시 금호읍 대미리,054-338-6536,2000
거여초등학교,경상북도 영천시 금호읍 관정리,054-337-2237,1000
금호초등학교,경상북도 영천시 금호읍 교대리,054-337-4155,1000
고경중학교,경상북도 영천시 고경면 청정리,054-336-2822,760
단포초등힉교,경상북도 영천시 고경면 단포리,,2400
고경초등학교,경상북도 영천시 고경면 상덕리,054-336-3075,
고경면사무소,경상북도 영천시 고경면 해선리,054-339-7810,
단포초등학교,경상북도 영천시 고경면 해선리,054-335-2004,
석계경로당,경상북도 영천시 고경면 석계리,054-337-0445,50
고경초등학교,경상북도 영천시 고경면 청정리,054-337-6879,200
금흔1리마을회관,경상북도 상주시 사벌면 금흔리,054-532-8311,30
남적2동마을회관,경상북도 상주시 남적동,054-533-1820,30
성불암,경상북도 상주시 외서면 연봉리,054-541-1292,30
병암마을회관,경상북도 상주시 공검면 병암리,054-541-0711,30
부원교회,경상북도 상주시 부원동,054-535-3102,30
역곡리마을회관,경상북도 상주시 공검면 역곡리,054-541-1052,30
오태2리마을회관,경상북도 상주시 공검면 오태리,054-541-4420,30
오태1리마을회관,경상북도 상주시 공검면 오태리,054-541-2885,30
성신여자중학교,경상북도 상주시 계산동,054-531-3680,540
사벌초등학교,경상북도 상주시 사벌면 덕담리,054-532-8115,180
백원초등학교,경상북도 상주시 외서면 관동리,054-532-0334,180
신흥1리마을회관,경상북도 상주시 함창읍 신흥리,054-541-1490,25
함창초등숭덕분교,경상북도 상주시 이안면 이안리,054-541-1537,60
함창초등학교,경상북도 상주시 함창읍 구향리,054-541-3016,630
지산2리마을회관,경상북도 상주시 이안면 지산리,054-541-5353,9
양범3리마을회관,경상북도 상주시 이안면 양범리,054-541-5438,9
신흥1리마을회관,경상북도 상주시 함창읍 신흥리,054-541-1490,25
신흥1리마을회관,경상북도 상주시 함창읍 신흥리,054-541-1490,30
이안마을회관,경상북도 상주시 이안면 흑암리,054-541-0705,30
양범3리마을회관,경상북도 상주시 이안면 양범리,,30
함창초등학교 숭덕분교,경상북도 상주시 이안면 이안리,054-541-1537,30
함창초등학교,경상북도 상주시 함창읍 구향리,054-541-3016,480
남부동행정복지센터,경상북도 영천시 도동,054-336-7461,
경상북도청,경상북도 안동시,054-880-3119,
영천시 대창면사무소,경상북도 영천시 대창면,054-339-7982,
대창동부경로당,경상북도 영천시 대창면 운천리,,
한국도로공사영천지사,경상북도 영천시 화남면 신호리,053-714-6500,
용전마을회관,경상북도 영천시 대창면 용전리,,30
동부경로당,경상북도 영천시 대창면 직천리,,20
대창동부경로당,경상북도 영천시 대창면 운천리,,30
대창면사무소,경상북도 영천시 대창면 대창리,054-339-7960,
용전경로당,경상북도 영천시 대창면 용전리,,30
남원시청,전라북도 남원시 도통동,063-634-4949,
내기리회관,전라북도 남원시 금지면,,10
방촌리경로당,전라북도 남원시 금지면 방촌리,063-631-7063,10
서재리회관,전라북도 남원시 금지면 서매리,063-635-4622,10
성은교회,전라북도 남원시 금지면 입암리,063-635-1229,10
남생교회,전라북도 남원시 주생면 제천리,063-631-8590,10
소지리회관,전라북도 남원시 주생면,063-631-8677,10
감성교회,전라북도 남원시 대산면 금성리,063-625-8716,15
화정교회,전라북도 남원시 왕정동,063-632-8251,10
왕정3통회관,전라북도 남원시 왕정동,063-626-6913,15
성원고교,전라북도 남원시 왕정동,063-633-8581,160
남원중교,전라북도 남원시 향교동,063-625-2028,570
남원고교,전라북도 남원시 향교동,063-632-7990,450
용성중교,전라북도 남원시 도통동,063-625-3550,90
남원왕치초교,전라북도 남원시 향교동,063-635-9664,40
남원월락초교,전라북도 남원시 도통동,063-625-1587,300
남원정보국악고교,전라북도 남원시 도통동,063-632-7701,350
서진여고교,전라북도 남원시 도통동,063-631-1331,380
남원여정보고교,전라북도 남원시 노암동,063-631-0308,180
양평리회관,전라북도 남원시 송동면 양평리,,10
손동리회관,전라북도 남원시 송동면 송기리,,10
송동초교,전라북도 남원시 송동면 송기리,063-634-6442,140
백평리회관,전라북도 남원시 송동면 양평리,,10
동서내리회관,전라북도 남원시 송동면 송내리,063-625-9002,10
호곡리회관,전라북도 남원시 주천면 호기리,,10
갈치회관,전라북도 남원시 도통동,063-635-3043,10
목동리회관,전라북도 남원시 산동면 목동리,063-635-6473,25
이곡리회관,전라북도 남원시 산동면,063-626-2620,10
신기리회관,전라북도 장수군 번암면 노단리,063-353-0239,10
월산리회관,전라북도 남원시 산동면 월석리,063-625-9931,10
원대론회관,전라북도 장수군 번암면 대론리,063-353-2250,35
석동리회관,전라북도 남원시 산동면 목동리,063-626-4473,10
이백초교,전라북도 남원시 이백면 평촌리,063-635-2919,110
등구리회관,전라북도 남원시 산동면 대기리,,15
번암중교,전라북도 장수군 번암면 노단리,063-353-5133,510
번암초교,전라북도 장수군 번암면 노단리,063-352-3567,60
두견리회관,전라북도 장수군 번암면 노단리,063-352-3980,10
수남초교,전라북도 장수군 장수읍 개정리,063-351-5560,120
금천리회관,전라북도 장수군 번암면 국포리,063-353-2249,10
도장리회관,전라북도 장수군 번암면 국포리,063-352-2805,10
택촌리회관,전라북도 남원시 금지면 택내리,,10
양평리회관(신),전라북도 남원시 송동면 연산리,,40
손동리회관(신),전라북도 남원시 송동면 영동리,,22
송동초등학교(신),전라북도 남원시 송동면 신평리,063-634-6442,395
외호곡경노당,전라북도 남원시 수지면 남창리,,31
용강마을회관(신),전라북도 남원시 수지면 남창리,,24
중상마을회관(신),전라북도 남원시 송동면 세전리,063-626-6484,31
대사리1구새마을회관(신),전라남도 곡성군 고달면 대사리,063-322-2207,28
수지중학교(신),전라북도 남원시 수지면 산정리,063-625-8840,200
양촌마을회관(신),전라북도 남원시 수지면 고평리,063-626-1070,20
수지초등학교(신),전라북도 남원시 수지면 호곡리,063-626-0998,422
남원시청,전라북도 남원시 도통동,063-634-4949,
수지초등학교,전라북도 남원시 수지면 호곡리,063-626-1414,150
수지중학교,전라북도 남원시 수지면 산정리,063-625-8841,150
고산초등학교,강원특별자치도 원주시 호저면 고산리,033-731-8676,226
고산마을회관,강원특별자치도 원주시 호저면 고산리,033-732-0428,219
원주시청,강원특별자치도 원주시 무실동 ,033-737-3683,
고산초등학교,강원특별자치도 원주시 호저면 고산리,033-731-8676,100
고산마을회관,강원특별자치도 원주시 호저면 고산리,033-732-0428,30
호저면사무소,강원특별자치도 원주시 문막읍 건등리,033-737-5603,
원주시청,강원특별자치도 원주시 무실동 ,033-737-3681,
안동시,경상북도 안동시,054-840-5335,
경주시,경상북도 경주시,054-779-6506,
영덕군,경상북도 영덕군,054-730-6158,
영양군,경상북도 영양군,054-680-6732,
청송군,경상북도 청송군,054-870-6781,
의성군,경상북도 의성군,054-830-6151,
군위군,대구광역시 군위군  ,054-380-7582,
문경시,경상북도 문경시,054-550-6154,
고령군,경상북도 고령군,054-950-6645,
칠곡군,경상북도 칠곡군,054-979-6161,
봉화군,경상북도 봉화군,054-679-6491,
화성2리경로당,경상북도 영천시 신녕면 가천리,,36
신녕면 복지회관,경상북도 영천시 신녕면 가천리,,75
영천시청,경상북도 영천시,054-330-6919,
영천시청,경상북도 영천시,054-330-6916,
성환산공원,경상북도 영천시 신녕면 가천리,,10
경산시,경상북도 경산시,053-810-5597,
영천시청,경상북도 영천시,054-330-6916,
경북도청,경상북도 안동시,054-880-3119,
신녕면사무소,경상북도 영천시 신녕면 가천리,054-339-7210,60
범종사,경상북도 영천시 신녕면 가천리,054-338-3331,106
가천교회,경상북도 영천시 신녕면 가천리,054-338-3927,36
구현노인회,경상북도 봉화군 봉화읍 유곡리,054-673-1232,30
봉화고등학교,경상북도 봉화군 봉화읍 삼계리,054-679-3311,2054
창평리회관,경상북도 봉화군 봉성면 창평리,054-673-1255,42
두동경로당,경상북도 봉화군 봉성면 동양리,054-673-1351,30
구현노인회,경상북도 봉화군 봉화읍 유곡리,054-673-1232,39
삼계2리마을회관,경상북도 봉화군 봉화읍 삼계리,054-673-6796,39
한국가스공사 고경관리소,경상북도 영천시 고경면,054-337-2325,
영천소방서,경상북도 영천시,054-333-4119,
영천경찰서,경상북도 영천시 금호읍,054-334-4102,
영천시청,경상북도 영천시,054-330-6222,
신녕고등학교,경상북도 영천시 신녕면,054-332-0474,1373
부산2리 경로당,경상북도 영천시 신녕면 부산리,054-337-8883,34
부산2리 마을회관,경상북도 영천시 신녕면 부산리,054-337-8883,36
치산2리 경로당,경상북도 영천시 신녕면 치산리,054-337-3319,39
신녕중학교,경상북도 영천시 신녕면 매양리,054-332-0474,1250
영주제일고교,경상북도 영주시 가흥동,054-639-4500,2536
경상북도,경상북도 안동시 풍천면 갈전리,054-880-3119,
대촌1리마을회관,경상북도 영주시 봉현면 대촌리,054-636-8809,30
일원동교회,경상북도 영주시 안정면 일원리,054-634-1052,39
안정포교원,경상북도 영주시 이산면 신천리,054-633-2828,30
제일교회,경상북도 영주시 안정면 신전리,054-634-6837,39
풍기초등학교,경상북도 영주시 풍기읍 성내리,054-636-8874,1758
풍기북부초등학교,경상북도 영주시 풍기읍 교촌리,054-636-8512,489
동양대학교,경상북도 영주시 풍기읍 산법리,054-630-1101,2969
송리회관(신),전라북도 남원시 주천면 은송리,,50
취암회관(신),전라북도 남원시 인월면 취암리,,50
이동회관(신),전라북도 남원시 아영면 두락리,063-625-1198,50
아영중학교,전라북도 남원시 아영면 청계리,063-626-9771,785
아영초등학교(신),전라북도 남원시 아영면 청계리,063-626-7007,490
오신회관(신),전라북도 남원시 인월면 건지리,063-636-8176,50
취암마을회관,전라북도 남원시 인월면 취암리,063-636-2139,50
아영초등학교,전라북도 남원시 아영면,063-626-7464,300
율동마을회관(신),전라북도 남원시 아영면 의지리,063-625-6123,50
오산마을회관,전라북도 남원시 아영면 월산리,,50
이동마을회관,전라북도 남원시 아영면 두락리,,100
아영중학교,전라북도 남원시 아영면,063-626-9771,300
화산면 복지회관,경상북도 영천시 화산면,054-339-7313,200
화산초등학교,경상북도 영천시 화산면,054-335-2850,325
화덕초등학교,경상북도 영천시 화산면 덕암리,054-335-8901,350
덕암리마을회관,경상북도 영천시 화산면 덕암리,054-337-9777,150
중모고등학교,경상북도 상주시 모동면 덕곡리,054-533-4080,808
모서중학교,경상북도 상주시 모서면 삼포리,054-533-2130,296
모서중학교,경상북도 상주시 모서면 삼포리,054-533-2130,1200
안미초등학교 선애분교,강원특별자치도 평창군 대화면 하안미리,033-330-1712,452
가평초등학교,강원특별자치도 평창군 대화면 하안미리,033-332-8579,136
서울대학교 평창캠퍼스,강원특별자치도 평창군 대화면 신리,033-339-5500,21725
한국전기안전공사 강원동부지사,강원특별자치도 강릉시 죽헌동 ,033-649-9700,
평창군청,강원특별자치도 평창군 평창읍 하리,033-330-2365,
한국전기안전공사 강원동부지사,강원특별자치도 강릉시 죽헌동 ,033-902-3100,
평창경찰서,강원특별자치도 평창군 평창읍 하리,033-334-0112,
안미초등학교 선애분교,강원특별자치도 평창군 대화면 하안미리,033-330-1712,500
서울대학교 평창캠퍼스,강원특별자치도 평창군 대화면 신리,033-339-5500,2000
평창군보건의료원,강원특별자치도 평창군 평창읍 종부리,033-332-4000,
대화면사무소,강원특별자치도 평창군 대화면 대화리,033-330-2604,
가평초등학교,강원특별자치도 평창군 대화면 하안미리,033-332-8579,500
강릉아산병원,강원특별자치도 강릉시 사천면 방동리,033-610-3114,
평창소방서,강원특별자치도 평창군 평창읍 후평리,033-339-8119,
평창경찰서,강원특별자치도 평창군 평창읍 하리,033-339-5381,
내초경로당,전라북도 군산시 내초동,063-467-0602,18
성남동경로당,전라북도 군산시 옥서면 옥봉리,063-471-4902,26
옥봉초등학교,전라북도 군산시 옥서면,063-471-2017,1170
해성초등학고,전라북도 군산시 산북동,063-466-5141,205
원주시청,강원특별자치도 원주시 무실동 ,033-737-3683,
술산마을회관,강원특별자치도 원주시 흥업면 대안리,033-762-4495,46
대안1리마을회관,강원특별자치도 원주시 흥업면 대안리,033-762-0819,58
대안1리마을회관,강원특별자치도 원주시 흥업면 대안리,033-762-0819,30
원주경찰서,강원특별자치도 원주시 봉산동 ,033-738-0257,
흥업면사무소,강원특별자치도 원주시 흥업면 흥업리,033-737-5663,
원주시청,강원특별자치도 원주시 무실동 ,033-737-3681,
명호중학교,경상북도 봉화군 명호면 도천리,054-679-2830,446
명호초등학교,경상북도 봉화군 명호면 도천리,054-672-1050,398
현동1리마을회관,경상북도 봉화군 재산면 현동리,054-673-5423,40
동면1리마을회관,경상북도 봉화군 재산면 동면리,054-673-8763,40
갈산1리마을회관,경상북도 봉화군 재산면 갈산리,054-672-8707,40
상리마을회관,경상북도 봉화군 재산면 상리,054-673-1694,36
남면리마을회관,경상북도 봉화군 재산면 남면리,054-672-2506,36
우곡1리 마을회관,경상북도 봉화군 봉성면 우곡리,054-672-2221,20
우곡1리 마을회관,경상북도 봉화군 봉성면 우곡리,054-672-2221,
봉화고등학교,경상북도 봉화군 봉화읍 삼계리,054-679-3311,2054
봉화군농업기술센터,경상북도 봉화군 봉성면 금봉리,054-679-6800,94
대한노인회수양,경상북도 봉화군 봉화읍 유곡리,054-673-8534,42
동양리마을회관,경상북도 봉화군 봉성면 동양리,054-672-2221,28
임고면사무소,경상북도 영천시 임고면 양항리,054-339-7715,
단포초등학교,경상북도 영천시 고경면 단포리,054-339-7822,973
평천초등학교,경상북도 영천시 임고면 평천리,054-339-7713,337
임고초등학교,경상북도 영천시 임고면 양항리,054-339-7713,438
선원2리노인정,경상북도 영천시 임고면 선원리,054-336-2234,31
금대리찜터경로당,경상북도 영천시 임고면 금대리,054-337-2478,25
창상경로당,경상북도 영천시 고경면 창상리,054-336-1991,20
황강리경로당,경상북도 영천시 임고면 황강리,,25
임고초등학교,경상북도 영천시 임고면 양항리,054-335-3774,800
임고중학교,경상북도 영천시 임고면 양평리,054-335-7044,600
우항고천경로당,경상북도 영천시 임고면 우항리,054-335-0215,23
임고효동회관,경상북도 영천시 임고면 효리,054-335-6928,25
연정리경로당,경상북도 영천시 신녕면 연정리,054-335-5587,25
신녕고등학교,경상북도 영천시 신녕면 화성리,054-336-6650,1373
화덕초등학교,경상북도 영천시 화산면 덕암리,054-335-5016,365
영천신문,경상북도 영천시 문외동,054-332-2400,
신녕면사무소,경상북도 영천시 신녕면 화성리,054-330-7213,
신녕초등학교,경상북도 영천시 신녕면 화성리,054-336-6650,400
연정리 마을회관,경상북도 영천시 신녕면 연정리,054-333-5587,100
영천기상관측소,경상북도 영천시 망정동,054-338-0365,
영천경찰서,경상북도 영천시 금호읍 원제리,054-339-1329,
한국전기안전공사 대구경북지역본부,대구광역시 동구,053-603-3000,
한국전력공사 영천지사,경상북도 영천시 금노동,054-330-2221,
KT영천지점,경상북도 영천시,054-333-0200,
화남보건지소,경상북도 영천시 화남면,054-330-6703,
화북보건지소,경상북도 영천시 화북면,054-330-6499,
영천소방서,경상북도 영천시 조교동,054-333-0119,
